A	id	title	url	lang	sourcelang	createdat	publishedat	rssfeedid	source	referenceid	referencekey	keywordlist	locationlist	publicationdate	label
10.0	"2XYBIWYVZV"	"Was it airborne? Queensland's Covid outbreak and mystery of hospital ward 5D"	"https://www.theguardian.com/australia-news/2021/apr/01/was-it-airborne-brisbane-queensland-covid-outbreak-mystery-princess-alexandra-hospital-nurses-ward-5d"	"EN"	""	"2021-04-01 13:20:40"	"2021-04-01 01:34:00+00:00"	"f15905267c94"	"www.theguardian.com"					1.61724084E9	"relevant"
11.0	"NSCWL8CALA"	"EDITORIAL: Follow the provision"	"https://thehimalayantimes.com/opinion/editorial-follow-the-provision"	"EN"	""	"2021-04-01 11:48:46"	"2021-04-01 04:57:47+00:00"	"8915bc5fe349"	"thehimalayantimes.com"					1.617260267E9	"relevant"
12.0	"ZZ5IFGMELK"	"Lumpy skin disease hits Mat’land South"	"https://www.chronicle.co.zw/lumpy-skin-disease-hits-matland-south/"	"EN"	""	"2021-04-01 11:58:57"	"2021-03-31 21:45:03+00:00"	"e0a6a790e1"	"www.chronicle.co.zw"					1.617234303E9	"relevant"
13.0	"PZZMZODZPJ"	"Bioacoustic monitoring initiative at hilac in Romania - Action BMR 2021"	"https://www.comunicatedepresa.ro/ongt-crispus/initiativa-de-monitorizare-bioacustica-la-hilac-in-romania-actiunea-bmr-2021/"	"EN"	"RO"	"2021-04-01 12:07:05"	"2021-04-01 09:04:21+00:00"	"6395c1dd60"	"www.comunicatedepresa.ro"					1.617275061E9	"relevant"
14.0	"KAHRKQ5XAZ"	"Outbreak of African swine fever in the commune of Banca"	"http://www.monitoruldevaslui.ro/2021/04/focar-de-pesta-porcina-africana-in-comuna-banca/"	"EN"	"RO"	"2021-04-01 12:07:05"	"2021-04-01 03:17:34+00:00"	"6395c1dd60"	"www.monitoruldevaslui.ro"					1.617254254E9	"relevant"
15.0	"4D2LJ9EQV5"	"Calhoun County Asks \"Yea Or Nay?\" On COVID Vaccination"	"https://wbckfm.com/calhoun-county-asks-yea-or-nay-on-covid-vaccination/"	"EN"	""	"2021-04-01 12:44:24"	"2021-04-01 10:30:07+00:00"	"dae1070319ca"	"wbckfm.com"					1.617280207E9	"relevant"
16.0	"KGGMGDMLZW"	"Bile and Potatoes, 1921"	"https://www.the-scientist.com/foundations/bile-and-potatoes-1921-68559"	"EN"	""	"2021-04-01 12:53:00"	"2021-04-01 02:07:46+00:00"	"c9593f6e51"	"www.the-scientist.com"					1.617250066E9	"relevant"
17.0	"Y79NCDMBY2"	"616 cases 增 new crown pneumonia confirmed by Nippon Osaka Shinkan 3 Tenn"	"https://udn.com/news/story/120944/5360310"	"EN"	"ZH-TW"	"2021-04-01 13:20:11"	"2021-04-01 09:25:04+00:00"	"09f4739a58bf"	"udn.com"					1.617276304E9	"relevant"
18.0	"E9G6VLZIJQ"	"New Coronavirus Infection Response Coordination Centre Enquiry Hotline Statistics (08:00-16:00, 01 April)"	"https://www.gov.mo/zh-hans/news/333055/"	"EN"	"ZH-CN"	"2021-04-01 13:20:11"	"2021-04-01 07:40:00+00:00"	"09f4739a58bf"	"www.gov.mo"					1.61727E9	"relevant"
19.0	"NWA4MJMK7B"	"Hong Kong Government News Network - Shanghai two buildings strong inspection enforcement action completed"	"https://www.news.gov.hk/chi/2021/04/20210401/20210401_123750_454.html"	"EN"	"KO"	"2021-04-01 13:20:11"	"2021-04-01 04:16:45+00:00"	"09f4739a58bf"	"www.news.gov.hk"					1.617257805E9	"relevant"
20.0	"2SDZF3PYNI"	"Update on the outbreak of new coronavirus pneumonia as of 24:00 on March 31 - Xinhua"	"http://www.xinhuanet.com/politics/2021-04/01/c_1127281229.htm"	"EN"	"ZH-CN"	"2021-04-01 15:20:11"	"2021-04-01 01:06:57+00:00"	"09f4739a58bf"	"www.xinhuanet.com"					1.617239217E9	"relevant"
21.0	"KUX7D478S8"	"New crown pneumonia. The | DSE candidates can choose to go to the Bamboo Bay Quarantine Centre if they have to be quarantined"	"https://www.hk01.com/%25E7%25A4%25BE%25E6%259C%2583%25E6%2596%25B0%25E8%2581%259E/606940/%25E6%2596%25B0%25E5%2586%25A0%25E8%2582%25BA%25E7%2582%258E-%25E6%259C%2580%25E6%2596%25B0-%25E5%25A2%259E13%25E5%25AE%2597%25E7%25A2%25BA%25E8%25A8%25BA%25E5%2585%25A9%25E7%2584%25A1%25E6%25BA%2590%25E9%25A0%25AD-%25E4%25B8%258B%25E5%2591%25A8%25E4%25B8%2580%25E6%2581%25A2%25E5%25BE%25A9%25E6%258E%25A5%25E7%25A8%25AE%25E5%25BE%25A9%25E5%25BF%2585%25E6%25B3%25B0%25E7%2596%25AB%25E8%258B%2597"	"EN"	"KO"	"2021-04-01 13:20:11"	"2021-03-31 21:00:00+00:00"	"09f4739a58bf"	"www.hk01.com"					1.6172316E9	"relevant"
22.0	"5TT99I0FF6"	"Jenner Institute developing vaccine to prevent gonorrhoea"	"https://www.epmmagazine.com/news/jenner-institue-developing-gonorrhoea-vaccine/"	"EN"	""	"2021-04-01 15:19:06"	"2021-04-01 11:43:12+00:00"	"85bf25689567"	"www.epmmagazine.com"					1.617284592E9	"relevant"
23.0	"C9VWNBZ6YA"	"Oxford COVID vaccine team wins funding to develop jab to prevent gonorrhea"	"https://pharmafield.co.uk/pharma_news/team-behind-oxford-covid-jab-wins-funding-to-develop-vaccine-to-prevent-gonorrhea/"	"EN"	""	"2021-04-01 15:19:06"	"2021-04-01 07:11:18+00:00"	"85bf25689567"	"pharmafield.co.uk"					1.617268278E9	"relevant"
24.0	"MYL483U68O"	"African swine fever: Brandenburg eases hunting restrictions"	"https://www.rbb24.de/studiofrankfurt/beitraege/2021/04/asp-brandenburg-lockert-jadgbeschraenkungen.html"	"EN"	"DE"	"2021-04-01 16:07:09"	"2021-04-01 08:57:00+00:00"	"104f07b0e7"	"www.rbb24.de"					1.61727462E9	"relevant"
25.0	"ENFQ53DBVW"	"Tönnies balance sheet: Meat group positive despite Corona and swine fever - Vegans in focus"	"https://www.wetterauer-zeitung.de/wirtschaft/toennies-corona-schweinepest-jahresbilanz-2020-fleisch-vegan-bio-fleischersatzprodukte-zr-90312926.html"	"EN"	"DE"	"2021-04-01 16:07:09"	"2021-04-01 08:30:51+00:00"	"104f07b0e7"	"www.wetterauer-zeitung.de"					1.617273051E9	"relevant"
26.0	"LDLCUR0Y46"	"Corona and swine fever make tönnies difficult"	"https://www.idowa.de/inhalt.jahreszahlen-corona-und-schweinepest-machen-toennies-zu-schaffen.95861019-6e9f-447e-b6e3-dbaf0c590936.html"	"EN"	"DE"	"2021-04-01 16:07:09"	"2021-04-01 04:37:53+00:00"	"104f07b0e7"	"www.idowa.de"					1.617259073E9	"relevant"
27.0	"VWFD7STWQX"	"Years: Corona and swine fever cause tönnies to create"	"https://www.wz.de/wirtschaft/corona-und-schweinepest-machen-toennies-zu-schaffen_aid-57134981"	"EN"	"DE"	"2021-04-01 16:13:22"	"2021-04-01 04:37:00+00:00"	"104f07b0e7"	"www.wz.de"					1.61725902E9	"relevant"
28.0	"M6GP05A1Z7"	"Forget lockdown - I’m celebrating the end of cluckdown"	"https://www.telegraph.co.uk/family/life/forget-lockdown-celebrating-end-cluckdown/"	"EN"	""	"2021-04-01 16:19:49"	"2021-04-01 13:53:00+00:00"	"8915bc5fe349"	"www.telegraph.co.uk"					1.61729238E9	"relevant"
29.0	"RVYX0Q9HAC"	"Poultry keepers urged to maintain highest possible standards of biosecurity as housing measures lift"	"https://www.miragenews.com/poultry-keepers-urged-to-maintain-highest-538817/"	"EN"	""	"2021-04-01 16:19:49"	"2021-04-01 12:58:48+00:00"	"8915bc5fe349"	"www.miragenews.com"					1.617289128E9	"relevant"
30.0	"FGS3NFADO5"	"We still can't rule out the possibility of a laboratory accident"	"https://www.20minutes.fr/monde/3011583-20210401-coronavirus-peut-toujours-ecarter-hypothese-accident-laboratoire"	"EN"	"FR"	"2021-04-01 16:20:18"	"2021-04-01 12:24:03+00:00"	"63b50225672c"	"www.20minutes.fr"					1.617287043E9	"relevant"
31.0	"VKQXDXJZEC"	"Guyanese man smuggles birds into JFK"	"https://www.nationnews.com/2021/04/01/guyanese-man-smuggles-birds-jfk/"	"EN"	""	"2021-04-01 16:19:49"	"2021-04-01 12:00:38+00:00"	"8915bc5fe349"	"www.nationnews.com"					1.617285638E9	"relevant"
32.0	"EX3WRSCMBI"	"Flock of flamingos finally taste freedom after four months in bird flu 'lockdown'"	"https://www.itv.com/news/border/2021-04-01/flock-of-flamingos-finally-taste-freedom-after-four-months-in-bird-flu-lockdown"	"EN"	""	"2021-04-01 16:19:49"	"2021-04-01 11:50:00+00:00"	"8915bc5fe349"	"www.itv.com"					1.617285E9	"relevant"
33.0	"I5L2Y23VEN"	"Bird flu: Ministry of Agriculture wants to \"learn from the crisis"	"https://www.sudouest.fr/sante/grippe-aviaire/grippe-aviaire-le-ministere-de-l-agriculture-souhaite-tirer-les-enseignements-de-la-crise-1892183.php"	"EN"	"FR"	"2021-04-01 16:20:18"	"2021-04-01 11:28:35+00:00"	"63b50225672c"	"www.sudouest.fr"					1.617283715E9	"relevant"
34.0	"XM6LBLNIPH"	"Bird flu: preventive measures in the department of Eure"	"https://france3-regions.francetvinfo.fr/normandie/eure/evreux/grippe-aviaire-des-mesures-de-prevention-dans-le-departement-de-l-eure-2025940.html"	"EN"	"FR"	"2021-04-01 16:20:18"	"2021-04-01 08:03:23+00:00"	"63b50225672c"	"france3-regions.francetvinfo.fr"					1.617271403E9	"relevant"
35.0	"3SZBN2PST8"	"Poultry housing order lifted as bird flu risk levels ease"	"https://www.farminguk.com/news/poultry-housing-order-lifted-as-bird-flu-risk-levels-ease_57924.html"	"EN"	""	"2021-04-01 16:19:49"	"2021-04-01 06:37:30+00:00"	"8915bc5fe349"	"www.farminguk.com"					1.61726625E9	"relevant"
36.0	"4Y0RUMIRSO"	"South Korea mulls rapid tests for home use"	"https://health.economictimes.indiatimes.com/news/industry/south-korea-mulls-rapid-tests-for-home-use/81839314"	"EN"	""	"2021-04-01 22:09:52"	"2021-04-01 10:18:22+00:00"	"203f7a0352"	"health.economictimes.indiatimes.com"					1.617279502E9	"relevant"
37.0	"49383LVDTA"	"The latest on disease-prone 'kissing bugs' that spread to NJ"	"https://nj1015.com/the-latest-on-disease-prone-kissing-bugs-that-spread-to-nj/"	"EN"	""	"2021-04-01 22:09:52"	"2021-03-31 20:50:18+00:00"	"203f7a0352"	"nj1015.com"					1.617231018E9	"relevant"
38.0	"G4F4D4I3HK"	"Salmonella outbreak sickens people in 8 states; birds dying from same strain"	"https://www.foodsafetynews.com/2021/04/salmonella-outbreak-sickens-people-in-8-states-birds-dying-from-same-strain/"	"EN"	""	"2021-04-01 22:22:08"	"2021-04-01 19:00:30+00:00"	"ece86a9f0a"	"www.foodsafetynews.com"					1.61731083E9	"relevant"
39.0	"MJZO6NNG49"	"125 animals died in Delhi zoo last year; mortality rate lowest in 3 years: Officials"	"https://www.outlookindia.com/newsscroll/125-animals-died-in-delhi-zoo-last-year-mortality-rate-lowest-in-3-years-officials/2057402"	"EN"	""	"2021-04-01 22:22:08"	"2021-04-01 14:07:44+00:00"	"ece86a9f0a"	"www.outlookindia.com"					1.617293264E9	"relevant"
40.0	"C30070OOZM"	"Gun, pesticides and dead birds of prey recovered in police raid"	"https://www.bournemouthecho.co.uk/news/19204897.gun-pesticides-dead-birds-prey-recovered-police-raid/"	"EN"	""	"2021-04-01 22:22:08"	"2021-04-01 13:12:08+00:00"	"ece86a9f0a"	"www.bournemouthecho.co.uk"					1.617289928E9	"relevant"
41.0	"Y05H1PHBTD"	"Pig sanitary. A favourable departmental situation, biosecurity in the face of threats"	"https://www.pleinchamp.com/actualite/sanitaire-porcin-une-situation-departementale-favorable-la-biosecurite-face-aux-menaces"	"EN"	"FR"	"2021-04-01 22:43:01"	"2021-04-01 12:45:30+00:00"	"0395390f17f7"	"www.pleinchamp.com"					1.61728833E9	"relevant"
42.0	"MYG0U9RE1M"	"Swine fever under control in Mindanao"	"https://www.manilatimes.net/2021/04/02/news/regions/swine-fever-under-control-in-mindanao/858561/"	"EN"	""	"2021-04-01 22:57:40"	"2021-04-01 14:01:44+00:00"	"3c4acf1de1"	"www.manilatimes.net"					1.617292904E9	"relevant"
43.0	"K4ZTUEROIX"	"African swine fever inflicts renewed toll on northern China's hog herd"	"https://www.agweek.com/business/agriculture/6964350-African-swine-fever-inflicts-renewed-toll-on-northern-Chinas-hog-herd"	"EN"	""	"2021-04-01 22:57:40"	"2021-04-01 13:22:30+00:00"	"3c4acf1de1"	"www.agweek.com"					1.61729055E9	"relevant"
44.0	"G2770G7UW9"	"Over 100 pigs infected with African swine fever destroyed"	"https://www.phnompenhpost.com/national/over-100-pigs-infected-african-swine-fever-destroyed"	"EN"	""	"2021-04-01 22:57:40"	"2021-04-01 13:22:29+00:00"	"3c4acf1de1"	"www.phnompenhpost.com"					1.617290549E9	"relevant"
45.0	"MHN5NNG8QE"	"DA rolls out P600M swine repopulation program in ASF 'pink' and 'yellow' zones"	"https://pia.gov.ph/news/articles/1071168"	"EN"	""	"2021-04-01 22:57:40"	"2021-04-01 01:40:00+00:00"	"3c4acf1de1"	"pia.gov.ph"					1.6172484E9	"relevant"
46.0	"YLXY7UYMIN"	"Safety warning as poultry housing measures are lifted"	"https://www.countytimes.co.uk/news/19204946.safety-warning-poultry-housing-measures-lifted/"	"EN"	""	"2021-04-02 04:05:02"	"2021-04-01 13:18:54+00:00"	"8915bc5fe349"	"www.countytimes.co.uk"					1.617290334E9	"relevant"
47.0	"CW31J9L1FF"	"Bird flu: Agriculture minister expects improvement by end of April"	"https://www.ladepeche.fr/2021/04/01/grippe-aviaire-le-ministre-de-lagriculture-attend-des-pistes-damelioration-fin-avril-9463644.php"	"EN"	"FR"	"2021-04-02 10:03:41"	"2021-04-01 15:17:00+00:00"	"63b50225672c"	"www.ladepeche.fr"					1.61729742E9	"relevant"
48.0	"WHEWL1O5MH"	"South Korea reports avian influenza cases in wild birds, but poultry appears unaffected"	"https://www.thepoultrysite.com/news/2021/04/south-korea-reports-avian-influenza-cases-in-wild-birds-but-poultry-appears-unaffected"	"EN"	""	"2021-04-02 10:05:39"	"2021-04-02 06:09:14+00:00"	"10c8057870"	"www.thepoultrysite.com"					1.617350954E9	"relevant"
49.0	"D07ZFMHE9B"	"Free range poultry released from bird flu lockdown"	"https://www.edp24.co.uk/news/business/free-range-poultry-released-from-bird-flu-lockdown-7863656"	"EN"	""	"2021-04-02 10:05:39"	"2021-04-02 03:15:00+00:00"	"10c8057870"	"www.edp24.co.uk"					1.6173405E9	"relevant"
50.0	"S9PFAG4U3E"	"Avian Influenza: Housing measures set to be lifted on 13 April"	"https://www.farminglife.com/country-and-farming/avian-influenza-housing-measures-set-to-be-lifted-on-13-april-3187668"	"EN"	""	"2021-04-02 10:11:20"	"2021-04-02 08:04:26+00:00"	"075a4e9c14"	"www.farminglife.com"					1.617357866E9	"relevant"
51.0	"A6V6V34L37"	"Delhi zoo sees animal deaths fall to 3-yr-low amid Covid, bird flu shutdown"	"https://www.business-standard.com/article/current-affairs/delhi-zoo-sees-animal-deaths-fall-to-3-yr-low-amid-covid-bird-flu-shutdown-121040200149_1.html"	"EN"	""	"2021-04-02 10:11:20"	"2021-04-02 01:45:00+00:00"	"075a4e9c14"	"www.business-standard.com"					1.6173351E9	"relevant"
52.0	"CYURR3MZH2"	"Poultry keepers urged to maintain highest possible standards of biosecurity as housing measures lift"	"https://www.gov.uk/government/news/poultry-keepers-urged-to-maintain-highest-possible-standards-of-biosecurity-as-housing-measures-lift"	"EN"	""	"2021-04-02 10:11:20"	"2021-04-01 12:56:28+00:00"	"075a4e9c14"	"www.gov.uk"					1.617288988E9	"relevant"
53.0	"ZH2ZIBC1SV"	"China's New ASF Cases and Vilsack Talks Trade with China"	"https://newstalkkit.com/ag-news-chinas-new-asf-cases-and-vilsack-talks-trade-with-china/"	"EN"	""	"2021-04-02 16:11:38"	"2021-04-02 11:29:47+00:00"	"375d7e138b"	"newstalkkit.com"					1.617370187E9	"relevant"
54.0	"N20IN6HZBQ"	"Sifiso Ntombela | Why investors should be looking to agriculture"	"https://www.news24.com/fin24/opinion/sifiso-ntombela-why-investors-should-be-looking-to-agriculture-20210402"	"EN"	""	"2021-04-02 16:11:38"	"2021-04-02 09:45:58+00:00"	"375d7e138b"	"www.news24.com"					1.617363958E9	"relevant"
55.0	"THV98AMU42"	"The per kilogram price of pork in North Korea has increased by 57% in the past six months"	"https://www.dailynk.com/english/the-per-kilogram-price-pork-north-korea-increased-57-past-six-months/"	"EN"	""	"2021-04-02 16:11:38"	"2021-04-02 08:00:51+00:00"	"375d7e138b"	"www.dailynk.com"					1.617357651E9	"relevant"
56.0	"ZNL622NDSW"	"Review: Mitigation strategies must continue to be investigated and adopted to avoid ASF entry to the US through feed"	"https://www.feednavigator.com/Article/2021/04/02/Review-Mitigation-strategies-must-continue-to-be-investigated-and-adopted-to-avoid-ASF-entry-to-the-US-through-feed"	"EN"	""	"2021-04-02 16:11:38"	"2021-04-02 06:33:00+00:00"	"375d7e138b"	"www.feednavigator.com"					1.61735238E9	"relevant"
57.0	"IWIZI8IRME"	"Moody’s affiliate says high pork prices risk complicating Asia-Pacific recovery"	"https://www.khmertimeskh.com/50833252/moodys-affiliate-says-high-pork-prices-risk-complicating-asia-pacific-recovery/"	"EN"	""	"2021-04-02 16:11:38"	"2021-04-01 23:00:57+00:00"	"375d7e138b"	"www.khmertimeskh.com"					1.617325257E9	"relevant"
58.0	"KT2SRRUBGS"	"Governor orders checkpoints in NSamar over ASF outbreak"	"https://www.manilatimes.net/2021/04/02/news/regions/governor-orders-checkpoints-in-nsamar-over-asf-outbreak/858563/"	"EN"	""	"2021-04-02 16:11:38"	"2021-04-01 14:03:52+00:00"	"375d7e138b"	"www.manilatimes.net"					1.617293032E9	"relevant"
59.0	"NVQRQYUHM8"	"Why your pet may need a Covid vaccine"	"https://www.msn.com/en-us/news/world/why-your-pet-may-need-a-covid-vaccine/ar-BB1fcPrq?li%3DBBnbcA1"	"EN"	""	"2021-04-02 16:22:04"	"2021-04-01 11:34:40+00:00"	"ae68d3d05a"	"www.msn.com"					1.61728408E9	"relevant"
60.0	"MG1C3L3CJQ"	"Over 55,000 animals believed dead in fire at German pig farm"	"https://www.independent.co.uk/news/over-55000-animals-believed-dead-in-fire-at-german-pig-farm-berlin-b1825639.html"	"EN"	""	"2021-04-02 17:48:29"	"2021-04-01 12:19:55+00:00"	"c1967ab863"	"www.independent.co.uk"					1.617286795E9	"relevant"
61.0	"0Z9XJUKEKU"	"Live pigs with African Swine Flu culled"	"https://www.khmertimeskh.com/50833184/live-pigs-with-african-swine-flu-culled/"	"EN"	""	"2021-04-02 20:06:18"	"2021-04-01 18:10:31+00:00"	"d4a8d92570"	"www.khmertimeskh.com"					1.617300631E9	"relevant"
62.0	"YL1MYVDR98"	"Emergency services are again damaging China's pig industry: 20% of livestock destroyed"	"http://agroportal.ua/news/zhivotnovodstvo/achs-snova-nanosit-uron-svinovodstvu-kitaya/"	"EN"	"RU"	"2021-04-02 18:07:31"	"2021-04-02 09:28:30+00:00"	"3c516d61a1"	"agroportal.ua"					1.61736291E9	"relevant"
63.0	"EK4X55EHV8"	"In Vladimir quarantine on the African plague of pigs will be lifted only at the end of April"	"https://zebra-tv.ru/novosti/jizn/vo-vladimire-karantin-po-afrikanskoy-chume-sviney-snimut-tolko-v-kontse-aprelya/"	"EN"	"RU"	"2021-04-02 18:07:31"	"2021-04-02 07:01:00+00:00"	"3c516d61a1"	"zebra-tv.ru"					1.61735406E9	"relevant"
64.0	"ATUTBF040J"	"So there's no plague."	"https://www.idkontakt.ru/news/region/10495/"	"EN"	"RU"	"2021-04-02 18:07:31"	"2021-04-02 06:03:25+00:00"	"3c516d61a1"	"www.idkontakt.ru"					1.617350605E9	"relevant"
65.0	"VAB64N2FTH"	"First outbreak of emergency services recorded in Indonesia since the beginning of the year"	"https://meatinfo.ru/news/pervaya-s-nachala-goda-vspishka-achs-zafiksirovana-v-indonezii-419606"	"EN"	"RU"	"2021-04-02 18:07:31"	"2021-04-02 04:18:00+00:00"	"3c516d61a1"	"meatinfo.ru"					1.61734428E9	"relevant"
66.0	"VQAWYXEK01"	"The danger of the swine plague was reminded to the residents of Serpukhov"	"https://serp.mk.ru/science/2021/04/01/ob-opasnosti-chumy-sviney-napomnili-zhitelyam-serpukhova.html"	"EN"	"RU"	"2021-04-02 18:07:31"	"2021-04-01 13:57:09+00:00"	"3c516d61a1"	"serp.mk.ru"					1.617292629E9	"relevant"
67.0	"DXGVR85833"	"Pig farming in China faces irreparable damage: \"tooth extraction\" does not help"	"https://eadaily.com/ru/news/2021/04/01/svinovodstvu-v-kitae-grozit-nepopravimyy-uron-udalenie-zubov-ne-pomogaet"	"EN"	"RU"	"2021-04-02 18:07:31"	"2021-04-01 11:14:00+00:00"	"3c516d61a1"	"eadaily.com"					1.61728284E9	"relevant"
68.0	"LPIGQL2ME7"	"The regional government discussed measures to prevent African plague and bird flu"	"https://gtrk-saratov.ru/v-pravitelstve-oblasti-obsudili-mery-profilaktiki-afrikanskoj-chumy-i-grippa-pticz/"	"EN"	"RU"	"2021-04-02 18:07:31"	"2021-04-01 10:14:37+00:00"	"3c516d61a1"	"gtrk-saratov.ru"					1.617279277E9	"relevant"
69.0	"5YJSVPEH4N"	"In Martigues, chickens and ducks are also confined!"	"https://www.maritima.info/depeches/nature/martigues/75159/a-martigues-poules-et-canards-aussi-sont-confines-.html"	"EN"	"FR"	"2021-04-02 18:18:41"	"2021-04-02 15:08:00+00:00"	"63b50225672c"	"www.maritima.info"					1.61738328E9	"relevant"
70.0	"YV0AMPGVFQ"	"lifting of the temporary control zone following a wildlife case"	"https://www.dna.fr/environnement/2021/04/02/grippe-aviaire-levee-de-la-zone-de-controle-temporaire-suite-a-un-cas-dans-la-faune-sauvage"	"EN"	"FR"	"2021-04-02 18:18:41"	"2021-04-02 09:31:00+00:00"	"63b50225672c"	"www.dna.fr"					1.61736306E9	"relevant"
71.0	"ZE0E169S69"	"From April, the suspension of the transfer of pigs from other provinces to the Guangxi-Guangxi News Network Yulin Channel"	"http://yl.gxnews.com.cn/staticpages/20210402/newgx60669494-20198953.shtml"	"EN"	"ZH-CN"	"2021-04-02 18:50:33"	"2021-04-02 10:59:03+00:00"	"694f097b0d"	"yl.gxnews.com.cn"					1.617368343E9	"relevant"
72.0	"4WWQX1T8QC"	"Analysis: African swine fever hit the pig industry in northern China, the southern pull alert"	"https://www.cna.com.tw/news/acn/202104020184.aspx"	"EN"	"KO"	"2021-04-02 18:50:33"	"2021-04-02 07:54:00+00:00"	"694f097b0d"	"www.cna.com.tw"					1.61735724E9	"relevant"
73.0	"RIMOH3YFFX"	"It is expected that the trend of vegetable meal will be stronger than that of soybean meal and Oriental Wealth Network"	"http://futures.eastmoney.com/a/202104021870321492.html"	"EN"	"ZH-CN"	"2021-04-02 18:50:33"	"2021-04-02 00:52:00+00:00"	"694f097b0d"	"futures.eastmoney.com"					1.61733192E9	"relevant"
74.0	"LD8VRG2KBF"	"Analysis: African swine fever has hit the pig industry in northern China again"	"https://cn.reuters.com/article/african-swine-fever-china-0401-thur-idCNKBS2BP08Z"	"EN"	"ZH-CN"	"2021-04-02 18:50:33"	"2021-04-01 14:07:00+00:00"	"694f097b0d"	"cn.reuters.com"					1.61729322E9	"relevant"
75.0	"S1XXPTEDD2"	"Coronavirus/France: 46,677 new cases, more than 5,200 patients in resuscitation"	"https://fr.news.yahoo.com/coronavirus-france-46-677-nouveaux-172715015.html"	"EN"	"FR"	"2021-04-02 19:10:46"	"2021-04-02 15:27:15+00:00"	"4a64da2cb9"	"fr.news.yahoo.com"					1.617384435E9	"relevant"
