drug_name,rank,signal,train_correlation
Amoxicillin 500 mg capsule,11,model_news_output_arkansas_anti_infective_national_demand_monthly_state_AR,0.5448053333485228
Amoxicillin 500 mg capsule,12,model_news_output_arkansas_anti_infective_composite_burden_monthly_state_AR,0.5140892530137762
Amoxicillin 500 mg capsule,13,model_news_output_arkansas_anti_infective_supply_disruption_monthly_state_AR,0.5138078830722109
Amoxicillin 500 mg capsule,14,model_news_output_arkansas_anesthesia_disruption_monthly_state_AR,0.5098246091717624
Amoxicillin 500 mg capsule,15,model_external_state_feature_arkansas_unemployment_rate_seasonal_anomaly_monthly_state_AR,0.4898077508700193
Amoxicillin-clavulanate 875/125 mg tablet,1,model_news_output_national_supply_chain_risk_monthly_state_AR,0.8349361644146781
Amoxicillin-clavulanate 875/125 mg tablet,2,model_news_output_national_supply_stage_direction_monthly_state_AR,0.8349361644146781
Amoxicillin-clavulanate 875/125 mg tablet,3,model_news_output_arkansas_anti_infective_national_supply_monthly_state_AR,0.8109290411824436
Amoxicillin-clavulanate 875/125 mg tablet,4,model_news_output_arkansas_anti_infective_national_policy_monthly_state_AR,0.7039217267528793
Amoxicillin-clavulanate 875/125 mg tablet,5,model_news_output_arkansas_anesthesia_supply_chain_monthly_state_AR,0.692263115993449
Amoxicillin-clavulanate 875/125 mg tablet,6,model_news_output_arkansas_antiinfective_anesthesia_supply_monthly_state_AR,0.6878823574484101
Amoxicillin-clavulanate 875/125 mg tablet,7,model_news_output_arkansas_anti_infective_supply_chain_monthly_state_AR,0.67675676625264
Amoxicillin-clavulanate 875/125 mg tablet,8,model_news_output_arkansas_anti_infective_supply_policy_pressure_monthly_state_AR,0.6757353394971364
Amoxicillin-clavulanate 875/125 mg tablet,9,model_news_output_arkansas_anti_infective_anesthesia_policy_monthly_state_AR,0.6739740364135499
Amoxicillin-clavulanate 875/125 mg tablet,10,model_external_state_feature_national_unemployment_rate_rolling_std_4_monthly_national_US,0.6007943798234748
Amoxicillin-clavulanate 875/125 mg tablet,11,model_news_output_arkansas_anti_infective_national_demand_monthly_state_AR,0.5718527745359091
Amoxicillin-clavulanate 875/125 mg tablet,12,model_news_output_arkansas_anesthesia_disruption_monthly_state_AR,0.5554010198086062
Amoxicillin-clavulanate 875/125 mg tablet,13,model_news_output_arkansas_anti_infective_supply_disruption_monthly_state_AR,0.5465016225646419
Amoxicillin-clavulanate 875/125 mg tablet,14,model_news_output_arkansas_anti_infective_composite_burden_monthly_state_AR,0.5463983418442263
Amoxicillin-clavulanate 875/125 mg tablet,15,model_external_state_feature_consumer_price_index_all_items_rolling_std_4_monthly_national,-0.4802985667149415
Atorvastatin 20 mg tablet,1,model_external_state_feature_arkansas_unemployment_rate_seasonal_baseline_monthly_state_AR,-0.408851101633731
Atorvastatin 20 mg tablet,2,model_external_state_feature_arkansas_unemployment_rate_rolling_mean_4_monthly_state_AR,0.40459961985780907
Atorvastatin 20 mg tablet,3,model_external_state_feature_arkansas_unemployment_rate_lag_12_monthly_state_AR,-0.40091948603364364
Atorvastatin 20 mg tablet,4,model_external_state_feature_arkansas_unemployment_rate_change_12_monthly_state_AR,0.3046698331337493
Atorvastatin 20 mg tablet,5,model_external_state_feature_arkansas_unemployment_rate_seasonal_anomaly_monthly_state_AR,0.27523445284180653
Atorvastatin 20 mg tablet,6,model_external_state_feature_arkansas_unemployment_rate_change_4_monthly_state_AR,-0.27243828623221916
Atorvastatin 20 mg tablet,7,model_external_state_feature_consumer_price_index_all_items_lag_1_monthly_national_US,0.2651705786523636
Atorvastatin 20 mg tablet,8,model_external_state_feature_consumer_price_index_all_items_rolling_mean_12_monthly_nation,0.24027733613226787
Atorvastatin 20 mg tablet,9,model_external_state_feature_consumer_price_index_all_items_monthly_national_US,0.23808689200883423
Atorvastatin 20 mg tablet,10,model_external_state_feature_consumer_price_index_all_items_rolling_mean_4_monthly_nationa,0.23781378077437657
Atorvastatin 20 mg tablet,11,model_external_state_feature_consumer_price_index_all_items_change_1_monthly_national_US,-0.23711820166403888
Atorvastatin 20 mg tablet,12,model_external_state_feature_national_unemployment_rate_lag_1_monthly_national_US,0.2356653174513588
Atorvastatin 20 mg tablet,13,model_external_state_feature_consumer_price_index_all_items_lag_12_monthly_national_US,0.23302219268433047
Atorvastatin 20 mg tablet,14,model_external_state_feature_arkansas_unemployment_rate_lag_4_monthly_state_AR,0.2313074603999435
Atorvastatin 20 mg tablet,15,model_external_state_feature_consumer_price_index_all_items_seasonal_baseline_monthly_nati,0.22710126388021898
Azithromycin 250 mg tablet,1,model_news_output_national_supply_chain_risk_monthly_state_AR,0.8092677893608634
Azithromycin 250 mg tablet,2,model_news_output_national_supply_stage_direction_monthly_state_AR,0.8092677893608634
Azithromycin 250 mg tablet,3,model_news_output_arkansas_anti_infective_national_supply_monthly_state_AR,0.7903186807884172
Azithromycin 250 mg tablet,4,model_news_output_arkansas_anesthesia_supply_chain_monthly_state_AR,0.6925052395086089
Azithromycin 250 mg tablet,5,model_news_output_arkansas_antiinfective_anesthesia_supply_monthly_state_AR,0.6844189347352536
Azithromycin 250 mg tablet,6,model_news_output_arkansas_anti_infective_national_policy_monthly_state_AR,0.6778889134991865
Azithromycin 250 mg tablet,7,model_news_output_arkansas_anti_infective_supply_chain_monthly_state_AR,0.6695675843169062
Azithromycin 250 mg tablet,8,model_news_output_arkansas_anti_infective_supply_policy_pressure_monthly_state_AR,0.6686074079359603
Azithromycin 250 mg tablet,9,model_news_output_arkansas_anti_infective_anesthesia_policy_monthly_state_AR,0.6681219577064219
Azithromycin 250 mg tablet,10,model_news_output_arkansas_anti_infective_national_demand_monthly_state_AR,0.5799028214794758
Azithromycin 250 mg tablet,11,model_external_state_feature_national_unemployment_rate_rolling_std_4_monthly_national_US,0.578098367707939
Azithromycin 250 mg tablet,12,model_news_output_arkansas_anesthesia_disruption_monthly_state_AR,0.5551890125001
Azithromycin 250 mg tablet,13,model_news_output_arkansas_anti_infective_supply_disruption_monthly_state_AR,0.5498888277436123
Azithromycin 250 mg tablet,14,model_news_output_arkansas_anti_infective_composite_burden_monthly_state_AR,0.5498100847671867
Azithromycin 250 mg tablet,15,model_external_state_feature_consumer_price_index_all_items_rolling_std_4_monthly_national,-0.5049554017415282
Cephalexin 500 mg capsule,1,model_news_output_national_supply_chain_risk_monthly_state_AR,0.8147090601057209
Cephalexin 500 mg capsule,2,model_news_output_national_supply_stage_direction_monthly_state_AR,0.8147090601057209
Cephalexin 500 mg capsule,3,model_news_output_arkansas_anti_infective_national_supply_monthly_state_AR,0.7965405502220119
Cephalexin 500 mg capsule,4,model_news_output_arkansas_anesthesia_supply_chain_monthly_state_AR,0.6931853692940075
Cephalexin 500 mg capsule,5,model_news_output_arkansas_antiinfective_anesthesia_supply_monthly_state_AR,0.6884362381374739
Cephalexin 500 mg capsule,6,model_news_output_arkansas_anti_infective_supply_chain_monthly_state_AR,0.676931541181492
Cephalexin 500 mg capsule,7,model_news_output_arkansas_anti_infective_supply_policy_pressure_monthly_state_AR,0.6766358168958105
Cephalexin 500 mg capsule,8,model_news_output_arkansas_anti_infective_anesthesia_policy_monthly_state_AR,0.6747044955527803
Cephalexin 500 mg capsule,9,model_news_output_arkansas_anti_infective_national_policy_monthly_state_AR,0.6638509605026165
Cephalexin 500 mg capsule,10,model_news_output_arkansas_anti_infective_national_demand_monthly_state_AR,0.5952065167996355
Cephalexin 500 mg capsule,11,model_external_state_feature_national_unemployment_rate_rolling_std_4_monthly_national_US,0.592345713268215
Cephalexin 500 mg capsule,12,model_news_output_arkansas_anti_infective_composite_burden_monthly_state_AR,0.5473478923830665
Cephalexin 500 mg capsule,13,model_news_output_arkansas_anti_infective_supply_disruption_monthly_state_AR,0.5470961437573658
Cephalexin 500 mg capsule,14,model_news_output_arkansas_anesthesia_disruption_monthly_state_AR,0.5453496103093597
Cephalexin 500 mg capsule,15,model_external_state_feature_consumer_price_index_all_items_change_4_monthly_national_US,-0.5026955482087808
Cetirizine 10 mg tablet,1,model_external_state_feature_consumer_price_index_all_items_change_1_monthly_national_US,0.5381394732593623
Cetirizine 10 mg tablet,2,model_external_state_feature_consumer_price_index_all_items_change_12_monthly_national_US,0.510451549053108
Cetirizine 10 mg tablet,3,model_external_state_feature_arkansas_unemployment_rate_change_1_monthly_state_AR,-0.42206461925692734
Cetirizine 10 mg tablet,4,model_external_state_feature_national_unemployment_rate_change_4_monthly_national_US,-0.40198376986629236
Cetirizine 10 mg tablet,5,model_external_state_feature_arkansas_unemployment_rate_lag_4_monthly_state_AR,-0.37900709527339116
Cetirizine 10 mg tablet,6,model_external_state_feature_consumer_price_index_all_items_seasonal_baseline_monthly_nati,-0.3647547173901205
Cetirizine 10 mg tablet,7,model_external_state_feature_consumer_price_index_all_items_change_4_monthly_national_US,0.3589163145234921
Cetirizine 10 mg tablet,8,model_external_state_feature_arkansas_unemployment_rate_seasonal_anomaly_monthly_state_AR,-0.3557781591932453
Cetirizine 10 mg tablet,9,model_external_state_feature_consumer_price_index_all_items_rolling_std_4_monthly_national,0.3094489955080396
Cetirizine 10 mg tablet,10,model_external_state_feature_consumer_price_index_all_items_lag_12_monthly_national_US,-0.3001542037667682
Cetirizine 10 mg tablet,11,model_external_state_feature_consumer_price_index_all_items_rolling_mean_4_monthly_nationa,-0.29669326295526055
Cetirizine 10 mg tablet,12,model_external_state_feature_national_unemployment_rate_rolling_std_4_monthly_national_US,-0.28526373106897046
Cetirizine 10 mg tablet,13,model_external_state_feature_consumer_price_index_all_items_lag_4_monthly_national_US,-0.2839106677944273
Cetirizine 10 mg tablet,14,model_news_output_arkansas_anesthesia_policy_monthly_state_AR,0.264365264103264
Cetirizine 10 mg tablet,15,model_news_output_national_demand_risk_monthly_state_AR,0.24297725604574505
Doxycycline 100 mg capsule,1,model_news_output_national_supply_chain_risk_monthly_state_AR,0.8376159505947987
Doxycycline 100 mg capsule,2,model_news_output_national_supply_stage_direction_monthly_state_AR,0.8376159505947987
Doxycycline 100 mg capsule,3,model_news_output_arkansas_anti_infective_national_supply_monthly_state_AR,0.8218190801814913
Doxycycline 100 mg capsule,4,model_news_output_arkansas_anesthesia_supply_chain_monthly_state_AR,0.7275175547575203
Doxycycline 100 mg capsule,5,model_news_output_arkansas_antiinfective_anesthesia_supply_monthly_state_AR,0.7198353578168524
Doxycycline 100 mg capsule,6,model_news_output_arkansas_anti_infective_supply_chain_monthly_state_AR,0.7050500003615139
Doxycycline 100 mg capsule,7,model_news_output_arkansas_anti_infective_supply_policy_pressure_monthly_state_AR,0.7037105427344378
Doxycycline 100 mg capsule,8,model_news_output_arkansas_anti_infective_anesthesia_policy_monthly_state_AR,0.7028155140055093
Doxycycline 100 mg capsule,9,model_news_output_arkansas_anti_infective_national_policy_monthly_state_AR,0.6914310154208174
Doxycycline 100 mg capsule,10,model_news_output_arkansas_anti_infective_national_demand_monthly_state_AR,0.6004414382397391
Doxycycline 100 mg capsule,11,model_external_state_feature_national_unemployment_rate_rolling_std_4_monthly_national_US,0.594794496729716
Doxycycline 100 mg capsule,12,model_news_output_arkansas_anesthesia_disruption_monthly_state_AR,0.5855713675344911
Doxycycline 100 mg capsule,13,model_news_output_arkansas_anti_infective_supply_disruption_monthly_state_AR,0.5754517254532495
Doxycycline 100 mg capsule,14,model_news_output_arkansas_anti_infective_composite_burden_monthly_state_AR,0.5752086412878447
Doxycycline 100 mg capsule,15,model_external_state_feature_consumer_price_index_all_items_rolling_std_4_monthly_national,-0.4839063205658632
Famotidine 20 mg tablet,1,model_external_state_feature_arkansas_unemployment_rate_change_1_monthly_state_AR,-0.286178052171017
Famotidine 20 mg tablet,2,model_external_state_feature_arkansas_unemployment_rate_rolling_mean_12_monthly_state_AR,0.22103727831795125
Famotidine 20 mg tablet,3,model_external_state_feature_arkansas_unemployment_rate_rolling_std_4_monthly_state_AR,0.22048904978277087
Famotidine 20 mg tablet,4,model_news_output_arkansas_anesthesia_disruption_monthly_state_AR,0.2067214796348753
Famotidine 20 mg tablet,5,model_external_state_feature_shortage_active_weekly_national_US,-0.20595265580415256
Famotidine 20 mg tablet,6,model_news_output_arkansas_anti_infective_disruption_monthly_state_AR,0.20487135287198355
Famotidine 20 mg tablet,7,model_external_state_feature_national_unemployment_rate_lag_4_monthly_national_US,0.20374085118951696
Famotidine 20 mg tablet,8,model_external_state_feature_arkansas_unemployment_rate_lag_4_monthly_state_AR,-0.2022120880585719
Famotidine 20 mg tablet,9,model_external_state_feature_national_unemployment_rate_rolling_mean_12_monthly_national_U,0.19470527293556616
Famotidine 20 mg tablet,10,model_external_state_feature_consumer_price_index_all_items_change_12_monthly_national_US,0.17444249195943712
Famotidine 20 mg tablet,11,model_external_state_feature_national_unemployment_rate_change_4_monthly_national_US,-0.16994859791873462
Famotidine 20 mg tablet,12,model_news_output_arkansas_anti_infective_composite_burden_monthly_state_AR,0.16916041937271364
Famotidine 20 mg tablet,13,model_external_state_feature_dual_eligible_rate_annual_national_US,0.16722188882856462
Famotidine 20 mg tablet,14,model_external_state_feature_post_acute_utilization_annual_national_US,0.16722188882856448
Famotidine 20 mg tablet,15,model_external_state_feature_outpatient_utilization_annual_national_US,0.1672218888285643
Fluticasone nasal spray,1,model_external_state_feature_consumer_price_index_all_items_change_1_monthly_national_US,0.6097010111639138
Fluticasone nasal spray,2,model_external_state_feature_consumer_price_index_all_items_change_12_monthly_national_US,0.538098936551215
Fluticasone nasal spray,3,model_external_state_feature_national_unemployment_rate_change_4_monthly_national_US,-0.46261459967657337
Fluticasone nasal spray,4,model_external_state_feature_arkansas_unemployment_rate_seasonal_anomaly_monthly_state_AR,-0.45791447714411826
Fluticasone nasal spray,5,model_external_state_feature_consumer_price_index_all_items_seasonal_baseline_monthly_nati,-0.4527675783233509
Fluticasone nasal spray,6,model_news_output_arkansas_anesthesia_policy_monthly_state_AR,0.401198340490216
Fluticasone nasal spray,7,model_external_state_feature_arkansas_unemployment_rate_lag_4_monthly_state_AR,-0.3646485731130956
Fluticasone nasal spray,8,model_external_state_feature_consumer_price_index_all_items_rolling_mean_4_monthly_nationa,-0.3497523192503363
Fluticasone nasal spray,9,model_external_state_feature_consumer_price_index_all_items_lag_12_monthly_national_US,-0.3482389989901808
Fluticasone nasal spray,10,model_external_state_feature_arkansas_unemployment_rate_change_1_monthly_state_AR,-0.32178736710580347
Fluticasone nasal spray,11,model_news_output_arkansas_opioid_demand_monthly_state_AR,0.31577367210699514
Fluticasone nasal spray,12,model_external_state_feature_national_unemployment_rate_lag_12_monthly_national_US,0.3117831786561941
Fluticasone nasal spray,13,model_external_state_feature_consumer_price_index_all_items_lag_4_monthly_national_US,-0.3109446834494666
Fluticasone nasal spray,14,model_news_output_national_demand_risk_monthly_state_AR,0.3053424657983048
Fluticasone nasal spray,15,model_external_state_feature_consumer_price_index_all_items_lag_1_monthly_national_US,-0.303194595535896
Gabapentin 300 mg capsule,1,model_external_state_feature_arkansas_unemployment_rate_change_12_monthly_state_AR,0.42491295598482487
Gabapentin 300 mg capsule,2,model_external_state_feature_arkansas_unemployment_rate_seasonal_anomaly_monthly_state_AR,0.32143634978095625
Gabapentin 300 mg capsule,3,model_news_output_arkansas_anti_infective_disruption_monthly_state_AR,-0.31599014194598773
Gabapentin 300 mg capsule,4,model_news_output_arkansas_opioid_demand_monthly_state_AR,-0.3046923435853736
Gabapentin 300 mg capsule,5,model_external_state_feature_national_unemployment_rate_seasonal_anomaly_monthly_national_,0.2954525457925218
Gabapentin 300 mg capsule,6,model_external_state_feature_national_unemployment_rate_change_12_monthly_national_US,0.2921678363160314
Gabapentin 300 mg capsule,7,model_external_state_feature_consumer_price_index_all_items_seasonal_anomaly_monthly_natio,0.28143601869037455
Gabapentin 300 mg capsule,8,model_external_state_feature_national_unemployment_rate_rolling_std_12_monthly_national_US,0.2799562097386181
Gabapentin 300 mg capsule,9,model_news_output_national_demand_risk_monthly_state_AR,-0.26772588393993985
Gabapentin 300 mg capsule,10,model_external_state_feature_national_unemployment_rate_lag_12_monthly_national_US,-0.2670246593175655
Gabapentin 300 mg capsule,11,model_external_state_feature_national_unemployment_rate_change_4_monthly_national_US,0.2666473412124716
Gabapentin 300 mg capsule,12,model_external_state_feature_national_unemployment_rate_seasonal_baseline_monthly_national,-0.26327171400588956
Gabapentin 300 mg capsule,13,model_external_state_feature_post_acute_utilization_annual_national_US,0.25371980555952606
Gabapentin 300 mg capsule,14,model_external_state_feature_dual_eligible_rate_annual_national_US,0.25371980555952545
Gabapentin 300 mg capsule,15,model_external_state_feature_medicare_beneficiary_count_annual_national_US,0.2537198055595252
Glipizide 5 mg tablet,1,model_external_state_feature_arkansas_unemployment_rate_lag_1_monthly_state_AR,0.3681463144818727
Glipizide 5 mg tablet,2,model_external_state_feature_arkansas_unemployment_rate_monthly_state_AR,0.36394049520366323
Glipizide 5 mg tablet,3,model_external_state_feature_national_unemployment_rate_rolling_std_12_monthly_national_US,0.3540823967230229
Glipizide 5 mg tablet,4,model_external_state_feature_dual_eligible_rate_annual_national_US,0.34147586014153064
Glipizide 5 mg tablet,5,model_external_state_feature_outpatient_utilization_annual_national_US,0.34147586014152953
Glipizide 5 mg tablet,6,model_external_state_feature_post_acute_utilization_annual_national_US,0.34147586014152953
Glipizide 5 mg tablet,7,model_external_state_feature_emergency_department_utilization_annual_national_US,0.3414758601415293
Glipizide 5 mg tablet,8,model_external_state_feature_inpatient_utilization_annual_national_US,0.34147586014152925
Glipizide 5 mg tablet,9,model_external_state_feature_medicare_advantage_participation_rate_annual_national_US,0.3414758601415291
Glipizide 5 mg tablet,10,model_external_state_feature_medicare_beneficiary_count_annual_national_US,0.3414758601415291
Glipizide 5 mg tablet,11,model_external_state_feature_home_health_utilization_annual_national_US,0.34147586014152903
Glipizide 5 mg tablet,12,model_external_state_feature_medicare_per_capita_spending_annual_national_US,0.34147586014152814
Glipizide 5 mg tablet,13,model_news_output_national_policy_direction_monthly_state_AR,0.3222835978998764
Glipizide 5 mg tablet,14,model_news_output_national_policy_risk_monthly_state_AR,0.3222835978998764
Glipizide 5 mg tablet,15,model_external_state_feature_national_unemployment_rate_seasonal_anomaly_monthly_national_,0.31999614066529114
Hydrochlorothiazide 25 mg tablet,1,model_external_state_feature_arkansas_unemployment_rate_seasonal_anomaly_monthly_state_AR,-0.384331789966991
Hydrochlorothiazide 25 mg tablet,2,model_external_state_feature_national_unemployment_rate_change_4_monthly_national_US,-0.35730454053983585
Hydrochlorothiazide 25 mg tablet,3,model_external_state_feature_national_unemployment_rate_change_12_monthly_national_US,-0.32755131458394365
Hydrochlorothiazide 25 mg tablet,4,model_external_state_feature_national_unemployment_rate_seasonal_anomaly_monthly_national_,-0.28679546784481263
Hydrochlorothiazide 25 mg tablet,5,model_external_state_feature_arkansas_unemployment_rate_change_12_monthly_state_AR,-0.28262231507673197
Hydrochlorothiazide 25 mg tablet,6,model_external_state_feature_consumer_price_index_all_items_change_12_monthly_national_US,0.28005497429469445
Hydrochlorothiazide 25 mg tablet,7,model_external_state_feature_consumer_price_index_all_items_lag_4_monthly_national_US,-0.2669628687550435
Hydrochlorothiazide 25 mg tablet,8,model_external_state_feature_national_unemployment_rate_monthly_national_US,-0.2662239990262408
Hydrochlorothiazide 25 mg tablet,9,model_external_state_feature_consumer_price_index_all_items_seasonal_baseline_monthly_nati,-0.2637943603889468
Hydrochlorothiazide 25 mg tablet,10,model_external_state_feature_national_unemployment_rate_lag_12_monthly_national_US,0.26124337719179364
Hydrochlorothiazide 25 mg tablet,11,model_external_state_feature_consumer_price_index_all_items_rolling_mean_4_monthly_nationa,-0.25184839358678085
Hydrochlorothiazide 25 mg tablet,12,model_external_state_feature_national_unemployment_rate_rolling_std_4_monthly_national_US,-0.2501765802991664
Hydrochlorothiazide 25 mg tablet,13,model_external_state_feature_arkansas_unemployment_rate_monthly_state_AR,-0.2500832351341193
Hydrochlorothiazide 25 mg tablet,14,model_external_state_feature_consumer_price_index_all_items_change_1_monthly_national_US,0.24386958242369317
Hydrochlorothiazide 25 mg tablet,15,model_external_state_feature_consumer_price_index_all_items_lag_12_monthly_national_US,-0.24112098864969134
Ibuprofen 200 mg tablet,1,model_news_output_national_supply_chain_risk_monthly_state_AR,0.7192636885527325
Ibuprofen 200 mg tablet,2,model_news_output_national_supply_stage_direction_monthly_state_AR,0.7192636885527325
Ibuprofen 200 mg tablet,3,model_news_output_arkansas_anti_infective_national_supply_monthly_state_AR,0.6963488907813461
Ibuprofen 200 mg tablet,4,model_external_state_feature_national_unemployment_rate_rolling_std_4_monthly_national_US,0.6743455700517962
Ibuprofen 200 mg tablet,5,model_news_output_arkansas_anti_infective_national_policy_monthly_state_AR,0.6251205171008957
Ibuprofen 200 mg tablet,6,model_news_output_arkansas_anesthesia_supply_chain_monthly_state_AR,0.602859323455699
Ibuprofen 200 mg tablet,7,model_news_output_arkansas_antiinfective_anesthesia_supply_monthly_state_AR,0.5923617719372691
Ibuprofen 200 mg tablet,8,model_external_state_feature_consumer_price_index_all_items_rolling_std_4_monthly_national,-0.591679158741628
Ibuprofen 200 mg tablet,9,model_news_output_arkansas_anti_infective_supply_chain_monthly_state_AR,0.5759582525317613
Ibuprofen 200 mg tablet,10,model_news_output_arkansas_anti_infective_supply_policy_pressure_monthly_state_AR,0.5739702420065992
