date,state,facility_type,drug_name,therapeutic_class,units_sold,unit_price_usd,revenue_usd,stockout_flag,injected_event_tags
2023-01-01,Arkansas,local government clinic,Amoxicillin 500 mg capsule,antibiotic,2,0.18,0.36,0,weekend_closed|winter_respiratory|rsv_winter|amoxicillin_shortage|jan_jul_repricing|shortage_procurement_premium
2023-01-01,Arkansas,local government clinic,Amoxicillin-clavulanate 875/125 mg tablet,antibiotic,1,0.25,0.25,0,weekend_closed|winter_respiratory|rsv_winter|antibiotic_supply_pressure|jan_jul_repricing
2023-01-01,Arkansas,local government clinic,Azithromycin 250 mg tablet,antibiotic,0,0.23,0.0,0,weekend_closed|winter_respiratory|rsv_winter|jan_jul_repricing
2023-01-01,Arkansas,local government clinic,Doxycycline 100 mg capsule,antibiotic,1,0.22,0.22,0,weekend_closed|winter_respiratory|rsv_winter|jan_jul_repricing
2023-01-01,Arkansas,local government clinic,Cephalexin 500 mg capsule,antibiotic,1,0.18,0.18,0,weekend_closed|winter_respiratory|rsv_winter|jan_jul_repricing
2023-01-01,Arkansas,local government clinic,Oseltamivir 75 mg capsule,antiviral,0,0.36,0.0,0,weekend_closed|winter_respiratory|covid_waves|jan_jul_repricing
2023-01-01,Arkansas,local government clinic,Nirmatrelvir/ritonavir 300/100 mg pack,COVID antiviral,0,10.07,0.0,0,weekend_closed|covid_waves|jan_jul_repricing
2023-01-01,Arkansas,local government clinic,Prednisone 20 mg tablet,steroid,1,0.14,0.14,0,weekend_closed|winter_respiratory|rsv_winter|jan_jul_repricing
2023-01-01,Arkansas,local government clinic,Ibuprofen 200 mg tablet,OTC analgesic,0,0.04,0.0,0,weekend_closed|winter_respiratory|rsv_winter|2022_23_tripledemic_carryover|jan_jul_repricing
2023-01-01,Arkansas,local government clinic,Acetaminophen 500 mg tablet,OTC analgesic,1,0.04,0.04,0,weekend_closed|winter_respiratory|rsv_winter|2022_23_tripledemic_carryover|jan_jul_repricing
2023-01-01,Arkansas,local government clinic,Naproxen 500 mg tablet,NSAID,0,0.09,0.0,0,weekend_closed|winter_respiratory|jan_jul_repricing
2023-01-01,Arkansas,local government clinic,Gabapentin 300 mg capsule,neuropathic pain,1,0.11,0.11,0,weekend_closed|jan_jul_repricing
2023-01-01,Arkansas,local government clinic,Sertraline 50 mg tablet,SSRI,1,0.13,0.13,0,weekend_closed|medicaid_unwinding_2023|jan_jul_repricing
2023-01-01,Arkansas,local government clinic,Hydrochlorothiazide 25 mg tablet,diuretic,1,0.07,0.07,0,weekend_closed|jan_jul_repricing
2023-01-01,Arkansas,local government clinic,Insulin glargine 100 units/mL pen,insulin,0,3.63,0.0,0,weekend_closed|jan_jul_repricing
2023-01-01,Arkansas,local government clinic,Semaglutide 0.25/0.5 mg pen,GLP-1,0,20.93,0.0,0,weekend_closed|GLP1_shortage|jan_jul_repricing|GLP1_procurement_premium
2023-01-01,Arkansas,local government clinic,Naloxone 4 mg nasal spray,opioid antagonist,0,22.1,0.0,0,weekend_closed|jan_jul_repricing
2023-01-02,Arkansas,local government clinic,Lisinopril 10 mg tablet,ACE inhibitor,11,0.09,0.99,0,monday_catchup|medicaid_unwinding_2023
2023-01-02,Arkansas,local government clinic,Amlodipine 5 mg tablet,antihypertensive,8,0.08,0.64,0,monday_catchup|medicaid_unwinding_2023
2023-01-02,Arkansas,local government clinic,Losartan 50 mg tablet,ARB,5,0.1,0.5,0,monday_catchup|medicaid_unwinding_2023
2023-01-02,Arkansas,local government clinic,Metformin 500 mg tablet,diabetes,5,0.08,0.4,0,monday_catchup|medicaid_unwinding_2023
2023-01-02,Arkansas,local government clinic,Glipizide 5 mg tablet,diabetes,5,0.1,0.5,0,monday_catchup|medicaid_unwinding_2023
2023-01-02,Arkansas,local government clinic,Atorvastatin 20 mg tablet,statin,12,0.1,1.2,0,monday_catchup|medicaid_unwinding_2023
2023-01-02,Arkansas,local government clinic,Simvastatin 40 mg tablet,statin,5,0.09,0.45,0,monday_catchup|medicaid_unwinding_2023
2023-01-02,Arkansas,local government clinic,Levothyroxine 50 mcg tablet,thyroid,4,0.1,0.4,0,monday_catchup|medicaid_unwinding_2023
2023-01-02,Arkansas,local government clinic,Omeprazole 20 mg capsule,GI,10,0.11,1.1,0,monday_catchup
2023-01-02,Arkansas,local government clinic,Famotidine 20 mg tablet,GI,4,0.12,0.48,0,monday_catchup
2023-01-02,Arkansas,local government clinic,Albuterol HFA inhaler,respiratory,5,0.12,0.6,0,monday_catchup|winter_respiratory|covid_waves|rsv_winter
2023-01-02,Arkansas,local government clinic,Fluticasone nasal spray,allergy,5,0.13,0.65,0,monday_catchup
2023-01-02,Arkansas,local government clinic,Cetirizine 10 mg tablet,allergy,2,0.11,0.22,0,monday_catchup
2023-01-02,Arkansas,local government clinic,Amoxicillin 500 mg capsule,antibiotic,7,0.18,1.26,0,monday_catchup|winter_respiratory|rsv_winter|amoxicillin_shortage|shortage_procurement_premium
2023-01-02,Arkansas,local government clinic,Amoxicillin-clavulanate 875/125 mg tablet,antibiotic,3,0.24,0.72,0,monday_catchup|winter_respiratory|rsv_winter|antibiotic_supply_pressure
2023-01-02,Arkansas,local government clinic,Azithromycin 250 mg tablet,antibiotic,6,0.22,1.32,0,monday_catchup|winter_respiratory|rsv_winter
2023-01-02,Arkansas,local government clinic,Doxycycline 100 mg capsule,antibiotic,4,0.21,0.84,0,monday_catchup|winter_respiratory|rsv_winter
2023-01-02,Arkansas,local government clinic,Cephalexin 500 mg capsule,antibiotic,7,0.17,1.19,0,monday_catchup|winter_respiratory|rsv_winter
2023-01-02,Arkansas,local government clinic,Oseltamivir 75 mg capsule,antiviral,1,0.35,0.35,0,monday_catchup|winter_respiratory|covid_waves
2023-01-02,Arkansas,local government clinic,Nirmatrelvir/ritonavir 300/100 mg pack,COVID antiviral,0,9.83,0.0,0,monday_catchup|covid_waves
2023-01-02,Arkansas,local government clinic,Prednisone 20 mg tablet,steroid,2,0.13,0.26,0,monday_catchup|winter_respiratory|rsv_winter
2023-01-02,Arkansas,local government clinic,Ibuprofen 200 mg tablet,OTC analgesic,16,0.04,0.64,0,monday_catchup|winter_respiratory|rsv_winter|2022_23_tripledemic_carryover
2023-01-02,Arkansas,local government clinic,Acetaminophen 500 mg tablet,OTC analgesic,23,0.04,0.92,0,monday_catchup|winter_respiratory|rsv_winter|2022_23_tripledemic_carryover
2023-01-02,Arkansas,local government clinic,Naproxen 500 mg tablet,NSAID,5,0.09,0.45,0,monday_catchup|winter_respiratory
2023-01-02,Arkansas,local government clinic,Gabapentin 300 mg capsule,neuropathic pain,5,0.11,0.55,0,monday_catchup
2023-01-02,Arkansas,local government clinic,Sertraline 50 mg tablet,SSRI,4,0.12,0.48,0,monday_catchup|medicaid_unwinding_2023
2023-01-02,Arkansas,local government clinic,Hydrochlorothiazide 25 mg tablet,diuretic,9,0.07,0.63,0,monday_catchup
2023-01-02,Arkansas,local government clinic,Insulin glargine 100 units/mL pen,insulin,1,3.49,3.49,0,monday_catchup
2023-01-02,Arkansas,local government clinic,Semaglutide 0.25/0.5 mg pen,GLP-1,0,20.21,0.0,0,monday_catchup|GLP1_shortage|GLP1_procurement_premium
2023-01-02,Arkansas,local government clinic,Naloxone 4 mg nasal spray,opioid antagonist,0,22.04,0.0,0,monday_catchup
2023-01-03,Arkansas,local government clinic,Lisinopril 10 mg tablet,ACE inhibitor,6,0.09,0.54,0,medicaid_unwinding_2023
2023-01-03,Arkansas,local government clinic,Amlodipine 5 mg tablet,antihypertensive,7,0.08,0.56,0,medicaid_unwinding_2023
2023-01-03,Arkansas,local government clinic,Losartan 50 mg tablet,ARB,7,0.1,0.7,0,medicaid_unwinding_2023
2023-01-03,Arkansas,local government clinic,Metformin 500 mg tablet,diabetes,10,0.08,0.8,0,medicaid_unwinding_2023
2023-01-03,Arkansas,local government clinic,Glipizide 5 mg tablet,diabetes,2,0.1,0.2,0,medicaid_unwinding_2023
2023-01-03,Arkansas,local government clinic,Atorvastatin 20 mg tablet,statin,9,0.1,0.9,0,medicaid_unwinding_2023
2023-01-03,Arkansas,local government clinic,Simvastatin 40 mg tablet,statin,2,0.09,0.18,0,medicaid_unwinding_2023
2023-01-03,Arkansas,local government clinic,Levothyroxine 50 mcg tablet,thyroid,10,0.1,1.0,0,medicaid_unwinding_2023
2023-01-03,Arkansas,local government clinic,Omeprazole 20 mg capsule,GI,6,0.11,0.66,0,
2023-01-03,Arkansas,local government clinic,Famotidine 20 mg tablet,GI,2,0.12,0.24,0,
2023-01-03,Arkansas,local government clinic,Albuterol HFA inhaler,respiratory,7,0.12,0.84,0,winter_respiratory|covid_waves|rsv_winter
2023-01-03,Arkansas,local government clinic,Fluticasone nasal spray,allergy,3,0.13,0.39,0,
2023-01-03,Arkansas,local government clinic,Cetirizine 10 mg tablet,allergy,4,0.11,0.44,0,
2023-01-03,Arkansas,local government clinic,Amoxicillin 500 mg capsule,antibiotic,8,0.17,1.36,0,winter_respiratory|rsv_winter|amoxicillin_shortage|shortage_procurement_premium
2023-01-03,Arkansas,local government clinic,Amoxicillin-clavulanate 875/125 mg tablet,antibiotic,2,0.25,0.5,0,winter_respiratory|rsv_winter|antibiotic_supply_pressure
2023-01-03,Arkansas,local government clinic,Azithromycin 250 mg tablet,antibiotic,6,0.22,1.32,0,winter_respiratory|rsv_winter
2023-01-03,Arkansas,local government clinic,Doxycycline 100 mg capsule,antibiotic,0,0.21,0.0,0,winter_respiratory|rsv_winter
2023-01-03,Arkansas,local government clinic,Cephalexin 500 mg capsule,antibiotic,2,0.18,0.36,0,winter_respiratory|rsv_winter
2023-01-03,Arkansas,local government clinic,Oseltamivir 75 mg capsule,antiviral,0,0.35,0.0,0,winter_respiratory|covid_waves
2023-01-03,Arkansas,local government clinic,Nirmatrelvir/ritonavir 300/100 mg pack,COVID antiviral,0,9.81,0.0,0,covid_waves
2023-01-03,Arkansas,local government clinic,Prednisone 20 mg tablet,steroid,2,0.13,0.26,0,winter_respiratory|rsv_winter
2023-01-03,Arkansas,local government clinic,Ibuprofen 200 mg tablet,OTC analgesic,7,0.04,0.28,0,winter_respiratory|rsv_winter|2022_23_tripledemic_carryover
2023-01-03,Arkansas,local government clinic,Acetaminophen 500 mg tablet,OTC analgesic,15,0.04,0.6,0,winter_respiratory|rsv_winter|2022_23_tripledemic_carryover
2023-01-03,Arkansas,local government clinic,Naproxen 500 mg tablet,NSAID,7,0.09,0.63,0,winter_respiratory
2023-01-03,Arkansas,local government clinic,Gabapentin 300 mg capsule,neuropathic pain,7,0.11,0.77,0,
2023-01-03,Arkansas,local government clinic,Sertraline 50 mg tablet,SSRI,4,0.12,0.48,0,medicaid_unwinding_2023
2023-01-03,Arkansas,local government clinic,Hydrochlorothiazide 25 mg tablet,diuretic,11,0.07,0.77,0,
2023-01-03,Arkansas,local government clinic,Insulin glargine 100 units/mL pen,insulin,0,3.49,0.0,0,
2023-01-03,Arkansas,local government clinic,Semaglutide 0.25/0.5 mg pen,GLP-1,1,20.37,20.37,0,GLP1_shortage|GLP1_procurement_premium
2023-01-03,Arkansas,local government clinic,Naloxone 4 mg nasal spray,opioid antagonist,0,22.18,0.0,0,
2023-01-04,Arkansas,local government clinic,Lisinopril 10 mg tablet,ACE inhibitor,8,0.09,0.72,0,medicaid_unwinding_2023
2023-01-04,Arkansas,local government clinic,Amlodipine 5 mg tablet,antihypertensive,3,0.08,0.24,0,medicaid_unwinding_2023
2023-01-04,Arkansas,local government clinic,Losartan 50 mg tablet,ARB,4,0.1,0.4,0,medicaid_unwinding_2023
2023-01-04,Arkansas,local government clinic,Metformin 500 mg tablet,diabetes,3,0.08,0.24,0,medicaid_unwinding_2023
2023-01-04,Arkansas,local government clinic,Glipizide 5 mg tablet,diabetes,4,0.1,0.4,0,medicaid_unwinding_2023
2023-01-04,Arkansas,local government clinic,Atorvastatin 20 mg tablet,statin,8,0.1,0.8,0,medicaid_unwinding_2023
2023-01-04,Arkansas,local government clinic,Simvastatin 40 mg tablet,statin,2,0.09,0.18,0,medicaid_unwinding_2023
2023-01-04,Arkansas,local government clinic,Levothyroxine 50 mcg tablet,thyroid,8,0.1,0.8,0,medicaid_unwinding_2023
2023-01-04,Arkansas,local government clinic,Omeprazole 20 mg capsule,GI,6,0.11,0.66,0,
2023-01-04,Arkansas,local government clinic,Famotidine 20 mg tablet,GI,3,0.12,0.36,0,
2023-01-04,Arkansas,local government clinic,Albuterol HFA inhaler,respiratory,0,0.12,0.0,0,winter_respiratory|covid_waves|rsv_winter
2023-01-04,Arkansas,local government clinic,Fluticasone nasal spray,allergy,2,0.13,0.26,0,
2023-01-04,Arkansas,local government clinic,Cetirizine 10 mg tablet,allergy,4,0.11,0.44,0,
2023-01-04,Arkansas,local government clinic,Amoxicillin 500 mg capsule,antibiotic,7,0.17,1.19,0,winter_respiratory|rsv_winter|amoxicillin_shortage|shortage_procurement_premium
2023-01-04,Arkansas,local government clinic,Amoxicillin-clavulanate 875/125 mg tablet,antibiotic,5,0.25,1.25,0,winter_respiratory|rsv_winter|antibiotic_supply_pressure
2023-01-04,Arkansas,local government clinic,Azithromycin 250 mg tablet,antibiotic,3,0.22,0.66,0,winter_respiratory|rsv_winter
2023-01-04,Arkansas,local government clinic,Doxycycline 100 mg capsule,antibiotic,4,0.21,0.84,0,winter_respiratory|rsv_winter
2023-01-04,Arkansas,local government clinic,Cephalexin 500 mg capsule,antibiotic,2,0.17,0.34,0,winter_respiratory|rsv_winter
2023-01-04,Arkansas,local government clinic,Oseltamivir 75 mg capsule,antiviral,0,0.35,0.0,0,winter_respiratory|covid_waves
2023-01-04,Arkansas,local government clinic,Nirmatrelvir/ritonavir 300/100 mg pack,COVID antiviral,0,10.26,0.0,0,covid_waves
2023-01-04,Arkansas,local government clinic,Prednisone 20 mg tablet,steroid,4,0.13,0.52,0,winter_respiratory|rsv_winter
2023-01-04,Arkansas,local government clinic,Ibuprofen 200 mg tablet,OTC analgesic,17,0.04,0.68,0,winter_respiratory|rsv_winter|2022_23_tripledemic_carryover
2023-01-04,Arkansas,local government clinic,Acetaminophen 500 mg tablet,OTC analgesic,16,0.03,0.48,0,winter_respiratory|rsv_winter|2022_23_tripledemic_carryover
2023-01-04,Arkansas,local government clinic,Naproxen 500 mg tablet,NSAID,4,0.09,0.36,0,winter_respiratory
2023-01-04,Arkansas,local government clinic,Gabapentin 300 mg capsule,neuropathic pain,7,0.11,0.77,0,
2023-01-04,Arkansas,local government clinic,Sertraline 50 mg tablet,SSRI,7,0.12,0.84,0,medicaid_unwinding_2023
2023-01-04,Arkansas,local government clinic,Hydrochlorothiazide 25 mg tablet,diuretic,3,0.07,0.21,0,
2023-01-04,Arkansas,local government clinic,Insulin glargine 100 units/mL pen,insulin,3,3.52,10.56,0,
2023-01-04,Arkansas,local government clinic,Semaglutide 0.25/0.5 mg pen,GLP-1,0,20.02,0.0,0,GLP1_shortage|GLP1_procurement_premium
2023-01-04,Arkansas,local government clinic,Naloxone 4 mg nasal spray,opioid antagonist,0,22.11,0.0,0,
2023-01-05,Arkansas,local government clinic,Lisinopril 10 mg tablet,ACE inhibitor,19,0.09,1.71,0,medicaid_unwinding_2023
2023-01-05,Arkansas,local government clinic,Amlodipine 5 mg tablet,antihypertensive,6,0.08,0.48,0,medicaid_unwinding_2023
2023-01-05,Arkansas,local government clinic,Losartan 50 mg tablet,ARB,1,0.1,0.1,0,medicaid_unwinding_2023
2023-01-05,Arkansas,local government clinic,Metformin 500 mg tablet,diabetes,6,0.08,0.48,0,medicaid_unwinding_2023
2023-01-05,Arkansas,local government clinic,Glipizide 5 mg tablet,diabetes,1,0.1,0.1,0,medicaid_unwinding_2023
2023-01-05,Arkansas,local government clinic,Atorvastatin 20 mg tablet,statin,7,0.1,0.7,0,medicaid_unwinding_2023
2023-01-05,Arkansas,local government clinic,Simvastatin 40 mg tablet,statin,4,0.09,0.36,0,medicaid_unwinding_2023
2023-01-05,Arkansas,local government clinic,Levothyroxine 50 mcg tablet,thyroid,4,0.1,0.4,0,medicaid_unwinding_2023
2023-01-05,Arkansas,local government clinic,Omeprazole 20 mg capsule,GI,5,0.11,0.55,0,
2023-01-05,Arkansas,local government clinic,Famotidine 20 mg tablet,GI,2,0.12,0.24,0,
2023-01-05,Arkansas,local government clinic,Albuterol HFA inhaler,respiratory,4,0.12,0.48,0,winter_respiratory|covid_waves|rsv_winter
2023-01-05,Arkansas,local government clinic,Fluticasone nasal spray,allergy,4,0.13,0.52,0,
2023-01-05,Arkansas,local government clinic,Cetirizine 10 mg tablet,allergy,5,0.11,0.55,0,
2023-01-05,Arkansas,local government clinic,Amoxicillin 500 mg capsule,antibiotic,5,0.18,0.9,0,winter_respiratory|rsv_winter|amoxicillin_shortage|shortage_procurement_premium
2023-01-05,Arkansas,local government clinic,Amoxicillin-clavulanate 875/125 mg tablet,antibiotic,7,0.24,1.68,0,winter_respiratory|rsv_winter|antibiotic_supply_pressure
2023-01-05,Arkansas,local government clinic,Azithromycin 250 mg tablet,antibiotic,6,0.22,1.32,0,winter_respiratory|rsv_winter
2023-01-05,Arkansas,local government clinic,Doxycycline 100 mg capsule,antibiotic,4,0.21,0.84,0,winter_respiratory|rsv_winter
2023-01-05,Arkansas,local government clinic,Cephalexin 500 mg capsule,antibiotic,2,0.17,0.34,0,winter_respiratory|rsv_winter
2023-01-05,Arkansas,local government clinic,Oseltamivir 75 mg capsule,antiviral,1,0.36,0.36,0,winter_respiratory|covid_waves
2023-01-05,Arkansas,local government clinic,Nirmatrelvir/ritonavir 300/100 mg pack,COVID antiviral,0,9.79,0.0,0,covid_waves
2023-01-05,Arkansas,local government clinic,Prednisone 20 mg tablet,steroid,3,0.13,0.39,0,winter_respiratory|rsv_winter
2023-01-05,Arkansas,local government clinic,Ibuprofen 200 mg tablet,OTC analgesic,12,0.04,0.48,0,winter_respiratory|rsv_winter|2022_23_tripledemic_carryover
2023-01-05,Arkansas,local government clinic,Acetaminophen 500 mg tablet,OTC analgesic,22,0.04,0.88,0,winter_respiratory|rsv_winter|2022_23_tripledemic_carryover
2023-01-05,Arkansas,local government clinic,Naproxen 500 mg tablet,NSAID,5,0.09,0.45,0,winter_respiratory
2023-01-05,Arkansas,local government clinic,Gabapentin 300 mg capsule,neuropathic pain,5,0.11,0.55,0,
2023-01-05,Arkansas,local government clinic,Sertraline 50 mg tablet,SSRI,6,0.12,0.72,0,medicaid_unwinding_2023
2023-01-05,Arkansas,local government clinic,Hydrochlorothiazide 25 mg tablet,diuretic,4,0.07,0.28,0,
2023-01-05,Arkansas,local government clinic,Insulin glargine 100 units/mL pen,insulin,1,3.44,3.44,0,
2023-01-05,Arkansas,local government clinic,Semaglutide 0.25/0.5 mg pen,GLP-1,0,19.85,0.0,0,GLP1_shortage|GLP1_procurement_premium
2023-01-05,Arkansas,local government clinic,Naloxone 4 mg nasal spray,opioid antagonist,0,21.7,0.0,0,
2023-01-06,Arkansas,local government clinic,Lisinopril 10 mg tablet,ACE inhibitor,12,0.09,1.08,0,friday_short_day|medicaid_unwinding_2023
2023-01-06,Arkansas,local government clinic,Amlodipine 5 mg tablet,antihypertensive,6,0.08,0.48,0,friday_short_day|medicaid_unwinding_2023
2023-01-06,Arkansas,local government clinic,Losartan 50 mg tablet,ARB,0,0.1,0.0,0,friday_short_day|medicaid_unwinding_2023
2023-01-06,Arkansas,local government clinic,Metformin 500 mg tablet,diabetes,10,0.08,0.8,0,friday_short_day|medicaid_unwinding_2023
2023-01-06,Arkansas,local government clinic,Glipizide 5 mg tablet,diabetes,3,0.1,0.3,0,friday_short_day|medicaid_unwinding_2023
2023-01-06,Arkansas,local government clinic,Atorvastatin 20 mg tablet,statin,8,0.1,0.8,0,friday_short_day|medicaid_unwinding_2023
2023-01-06,Arkansas,local government clinic,Simvastatin 40 mg tablet,statin,3,0.09,0.27,0,friday_short_day|medicaid_unwinding_2023
2023-01-06,Arkansas,local government clinic,Levothyroxine 50 mcg tablet,thyroid,6,0.1,0.6,0,friday_short_day|medicaid_unwinding_2023
2023-01-06,Arkansas,local government clinic,Omeprazole 20 mg capsule,GI,2,0.11,0.22,0,friday_short_day
2023-01-06,Arkansas,local government clinic,Famotidine 20 mg tablet,GI,3,0.12,0.36,0,friday_short_day
2023-01-06,Arkansas,local government clinic,Albuterol HFA inhaler,respiratory,10,0.12,1.2,0,friday_short_day|winter_respiratory|covid_waves|rsv_winter
2023-01-06,Arkansas,local government clinic,Fluticasone nasal spray,allergy,6,0.13,0.78,0,friday_short_day
2023-01-06,Arkansas,local government clinic,Cetirizine 10 mg tablet,allergy,4,0.11,0.44,0,friday_short_day
2023-01-06,Arkansas,local government clinic,Amoxicillin 500 mg capsule,antibiotic,1,0.18,0.18,0,friday_short_day|winter_respiratory|rsv_winter|amoxicillin_shortage|shortage_procurement_premium
2023-01-06,Arkansas,local government clinic,Amoxicillin-clavulanate 875/125 mg tablet,antibiotic,5,0.25,1.25,0,friday_short_day|winter_respiratory|rsv_winter|antibiotic_supply_pressure
2023-01-06,Arkansas,local government clinic,Azithromycin 250 mg tablet,antibiotic,2,0.22,0.44,0,friday_short_day|winter_respiratory|rsv_winter
2023-01-06,Arkansas,local government clinic,Doxycycline 100 mg capsule,antibiotic,3,0.21,0.63,0,friday_short_day|winter_respiratory|rsv_winter
2023-01-06,Arkansas,local government clinic,Cephalexin 500 mg capsule,antibiotic,1,0.17,0.17,0,friday_short_day|winter_respiratory|rsv_winter
2023-01-06,Arkansas,local government clinic,Oseltamivir 75 mg capsule,antiviral,2,0.35,0.7,0,friday_short_day|winter_respiratory|covid_waves
2023-01-06,Arkansas,local government clinic,Nirmatrelvir/ritonavir 300/100 mg pack,COVID antiviral,0,10.22,0.0,0,friday_short_day|covid_waves
2023-01-06,Arkansas,local government clinic,Prednisone 20 mg tablet,steroid,7,0.13,0.91,0,friday_short_day|winter_respiratory|rsv_winter
2023-01-06,Arkansas,local government clinic,Ibuprofen 200 mg tablet,OTC analgesic,12,0.04,0.48,0,friday_short_day|winter_respiratory|rsv_winter|2022_23_tripledemic_carryover
2023-01-06,Arkansas,local government clinic,Acetaminophen 500 mg tablet,OTC analgesic,17,0.03,0.51,0,friday_short_day|winter_respiratory|rsv_winter|2022_23_tripledemic_carryover
2023-01-06,Arkansas,local government clinic,Naproxen 500 mg tablet,NSAID,6,0.09,0.54,0,friday_short_day|winter_respiratory
2023-01-06,Arkansas,local government clinic,Gabapentin 300 mg capsule,neuropathic pain,8,0.11,0.88,0,friday_short_day
2023-01-06,Arkansas,local government clinic,Sertraline 50 mg tablet,SSRI,5,0.12,0.6,0,friday_short_day|medicaid_unwinding_2023
2023-01-06,Arkansas,local government clinic,Hydrochlorothiazide 25 mg tablet,diuretic,6,0.07,0.42,0,friday_short_day
2023-01-06,Arkansas,local government clinic,Insulin glargine 100 units/mL pen,insulin,2,3.64,7.28,0,friday_short_day
2023-01-06,Arkansas,local government clinic,Semaglutide 0.25/0.5 mg pen,GLP-1,0,20.43,0.0,0,friday_short_day|GLP1_shortage|GLP1_procurement_premium
2023-01-06,Arkansas,local government clinic,Naloxone 4 mg nasal spray,opioid antagonist,0,21.16,0.0,0,friday_short_day
2023-01-07,Arkansas,local government clinic,Lisinopril 10 mg tablet,ACE inhibitor,2,0.09,0.18,0,weekend_closed|medicaid_unwinding_2023
2023-01-07,Arkansas,local government clinic,Amlodipine 5 mg tablet,antihypertensive,0,0.08,0.0,0,weekend_closed|medicaid_unwinding_2023
2023-01-07,Arkansas,local government clinic,Losartan 50 mg tablet,ARB,1,0.1,0.1,0,weekend_closed|medicaid_unwinding_2023
2023-01-07,Arkansas,local government clinic,Metformin 500 mg tablet,diabetes,1,0.08,0.08,0,weekend_closed|medicaid_unwinding_2023
2023-01-07,Arkansas,local government clinic,Glipizide 5 mg tablet,diabetes,0,0.1,0.0,0,weekend_closed|medicaid_unwinding_2023
2023-01-07,Arkansas,local government clinic,Atorvastatin 20 mg tablet,statin,0,0.1,0.0,0,weekend_closed|medicaid_unwinding_2023
2023-01-07,Arkansas,local government clinic,Simvastatin 40 mg tablet,statin,0,0.09,0.0,0,weekend_closed|medicaid_unwinding_2023
2023-01-07,Arkansas,local government clinic,Levothyroxine 50 mcg tablet,thyroid,0,0.1,0.0,0,weekend_closed|medicaid_unwinding_2023
2023-01-07,Arkansas,local government clinic,Omeprazole 20 mg capsule,GI,0,0.11,0.0,0,weekend_closed
2023-01-07,Arkansas,local government clinic,Famotidine 20 mg tablet,GI,0,0.12,0.0,0,weekend_closed
2023-01-07,Arkansas,local government clinic,Albuterol HFA inhaler,respiratory,0,0.12,0.0,0,weekend_closed|winter_respiratory|covid_waves|rsv_winter
2023-01-07,Arkansas,local government clinic,Fluticasone nasal spray,allergy,0,0.13,0.0,0,weekend_closed
2023-01-07,Arkansas,local government clinic,Cetirizine 10 mg tablet,allergy,0,0.11,0.0,0,weekend_closed
2023-01-07,Arkansas,local government clinic,Amoxicillin 500 mg capsule,antibiotic,0,0.18,0.0,0,weekend_closed|winter_respiratory|rsv_winter|amoxicillin_shortage|shortage_procurement_premium
2023-01-07,Arkansas,local government clinic,Amoxicillin-clavulanate 875/125 mg tablet,antibiotic,0,0.24,0.0,0,weekend_closed|winter_respiratory|rsv_winter|antibiotic_supply_pressure
2023-01-07,Arkansas,local government clinic,Azithromycin 250 mg tablet,antibiotic,0,0.22,0.0,0,weekend_closed|winter_respiratory|rsv_winter
2023-01-07,Arkansas,local government clinic,Doxycycline 100 mg capsule,antibiotic,0,0.21,0.0,0,weekend_closed|winter_respiratory|rsv_winter
2023-01-07,Arkansas,local government clinic,Cephalexin 500 mg capsule,antibiotic,0,0.17,0.0,0,weekend_closed|winter_respiratory|rsv_winter
