medication_id,medication_name,medication_category,current_inventory,reorder_point,max_capacity,prescription_volume_30d,avg_weekly_demand,demand_trend,supplier_id,supplier_lead_time_days,supplier_reliability_score,historical_shortage_count,days_since_last_shortage,avg_stockout_duration_days,risk_label
MED7A0FDE,Pioglitazone 30mg,diabetes,9.0,67.0,244.0,285.0,55.0,0.2,SUP116,12.0,0.878,1,66.0,57.3,0
MEDF0C6F2,Ipratropium Nebulizer,respiratory,1424.0,140.0,1848.0,126.0,34.0,-0.15,SUP125,20.0,0.409,9,104.0,3.8,1
MEDF6215E,Clozapine 100mg,psychiatric,747.0,218.0,1167.0,865.0,146.0,0.53,SUP140,41.0,0.451,6,118.0,6.1,1
MEDB892C6,Carboplatin 150mg,oncology,2673.0,733.0,2924.0,455.0,186.0,0.44,SUP147,28.0,0.355,4,96.0,10.5,1
MED989D86,Insulin Glargine 300U/mL,diabetes,88.0,351.0,665.0,1618.0,284.0,-0.29,SUP114,24.0,0.36,8,83.0,12.3,1
MED892F9C,Sucralfate 1g,gastrointestinal,2503.0,645.0,2568.0,1328.0,316.0,0.11,SUP130,4.0,0.656,4,99.0,1.1,0
MED578872,Mesalamine 400mg,gastrointestinal,183.0,275.0,820.0,474.0,162.0,0.05,SUP132,10.0,0.582,5,64.0,2.3,1
MEDDDB9BC,Methotrexate 25mg/mL,oncology,938.0,895.0,996.0,1206.0,197.0,0.33,SUP145,24.0,0.503,4,13.0,9.1,1
MED470003,Meloxicam 15mg,analgesic,1623.0,1613.0,1868.0,2550.0,380.0,-0.26,SUP121,15.0,0.702,6,114.0,1.3,0
MED124ADF,Insulin Glargine 300U/mL,diabetes,518.0,516.0,1868.0,995.0,196.0,0.65,SUP114,18.0,0.398,8,6.0,11.0,1
MED16C055,Vancomycin 1g,antibiotic,11.0,218.0,700.0,428.0,72.0,0.53,SUP103,16.0,0.53,5,38.0,5.2,1
MED9000E8,Chlorpromazine 50mg,psychiatric,181.0,25.0,346.0,70.0,15.0,0.45,SUP142,7.0,0.506,4,109.0,16.0,0
MEDBD68AC,Ondansetron ODT 4mg,gastrointestinal,1249.0,375.0,1592.0,847.0,143.0,0.48,SUP129,24.0,0.526,3,20.0,13.4,1
MED138A77,Vancomycin 1g,antibiotic,1049.0,951.0,1686.0,904.0,219.0,0.33,SUP103,14.0,0.613,5,23.0,21.4,0
MEDB0447F,Meropenem 1g,antibiotic,532.0,671.0,1040.0,1833.0,336.0,-0.09,SUP102,19.0,0.485,4,13.0,0.4,1
MED47DA1B,Tacrolimus 5mg,immunological,184.0,225.0,877.0,175.0,72.0,0.18,SUP153,27.0,0.448,4,113.0,31.0,1
MEDE20CDA,Azathioprine 50mg,immunological,659.0,7.0,659.0,28.0,6.0,0.06,SUP156,24.0,0.568,4,51.0,5.1,1
MEDCB67F3,Lithium Carbonate 300mg,psychiatric,238.0,1005.0,728.0,1502.0,306.0,-0.04,SUP139,25.0,0.491,4,17.0,17.2,1
MEDC81D44,Tacrolimus 5mg,immunological,327.0,738.0,1563.0,1697.0,262.0,0.07,SUP153,35.0,0.395,7,63.0,6.5,1
MED84B3E2,Amiodarone 200mg,cardiovascular,710.0,176.0,2554.0,702.0,108.0,0.2,SUP109,23.0,0.61,4,95.0,9.5,0
MEDCA8989,Glipizide ER 10mg,diabetes,1056.0,434.0,1100.0,589.0,90.0,-0.22,SUP117,11.0,0.599,2,65.0,0.1,0
MED427A6C,Cisplatin 50mg,oncology,537.0,360.0,1011.0,687.0,128.0,-0.1,SUP146,31.0,0.349,5,51.0,4.2,1
MED4CE90E,Heparin 5000U/mL,cardiovascular,684.0,677.0,1076.0,533.0,170.0,-0.29,SUP108,21.0,0.44,3,13.0,3.8,1
MED9995B0,Piperacillin-Tazobactam 3.375g,antibiotic,645.0,84.0,1838.0,84.0,36.0,0.53,SUP101,23.0,0.51,3,85.0,16.4,1
MED7CCE88,Dexamethasone 4mg,respiratory,67.0,116.0,91.0,132.0,41.0,0.16,SUP126,15.0,0.533,9,93.0,0.9,1
MED55120A,Semaglutide 0.25mg,diabetes,1426.0,233.0,1644.0,425.0,77.0,0.24,SUP115,41.0,0.35,7,34.0,5.0,1
MEDA810F1,Piperacillin-Tazobactam 3.375g,antibiotic,289.0,434.0,1503.0,326.0,123.0,0.26,SUP101,19.0,0.471,7,107.0,0.9,1
MEDA3C748,Vancomycin 1g,antibiotic,501.0,748.0,1352.0,551.0,197.0,0.09,SUP103,19.0,0.584,4,100.0,10.3,1
MED219B2E,Meropenem 1g,antibiotic,351.0,435.0,917.0,498.0,118.0,0.69,SUP102,36.0,0.626,3,98.0,26.8,1
MED59A58D,Ceftriaxone 1g,antibiotic,446.0,255.0,516.0,1054.0,173.0,0.65,SUP104,20.0,0.546,8,109.0,0.1,1
MEDCF58D3,Mesalamine 400mg,gastrointestinal,769.0,1435.0,1785.0,1900.0,290.0,0.61,SUP132,10.0,0.463,4,34.0,16.5,1
MEDC1E1A2,Ondansetron ODT 4mg,gastrointestinal,498.0,407.0,1169.0,620.0,276.0,-0.33,SUP129,20.0,0.512,3,29.0,15.0,0
MEDC15A39,Tacrolimus 5mg,immunological,497.0,379.0,1159.0,776.0,162.0,0.03,SUP153,33.0,0.356,7,86.0,5.9,1
MED144593,Clindamycin 300mg,antibiotic,785.0,75.0,1122.0,276.0,44.0,0.55,SUP105,12.0,0.666,5,3.0,39.7,0
MED0DF4CD,Chlorpromazine 50mg,psychiatric,481.0,481.0,1364.0,1116.0,265.0,0.47,SUP142,17.0,0.599,3,51.0,20.0,0
MED3386C3,Diltiazem 120mg,cardiovascular,1003.0,583.0,1195.0,648.0,237.0,0.11,SUP110,8.0,0.601,7,90.0,48.0,1
MED1CFECF,Tacrolimus 5mg,immunological,1679.0,169.0,2647.0,358.0,71.0,-0.21,SUP153,29.0,0.432,6,114.0,11.0,1
MEDC2F495,Infliximab 100mg,immunological,15.0,16.0,122.0,18.0,6.0,-0.12,SUP157,28.0,0.322,4,27.0,20.9,1
MED2A38FC,Nitroglycerin 0.4mg SL,cardiovascular,375.0,289.0,1810.0,1009.0,151.0,0.6,SUP107,25.0,0.551,6,37.0,1.5,1
MEDA7C926,Phenytoin 100mg,neurological,857.0,296.0,1318.0,521.0,99.0,0.59,SUP134,22.0,0.552,2,13.0,7.9,1
MED8BF75A,Doxorubicin 50mg,oncology,324.0,938.0,1074.0,2244.0,377.0,0.51,SUP149,45.0,0.292,12,16.0,4.5,0
MEDA644CB,Tacrolimus 5mg,immunological,801.0,378.0,1077.0,1089.0,247.0,0.09,SUP153,32.0,0.609,2,77.0,37.3,0
MEDC613B7,Doxorubicin 50mg,oncology,1024.0,393.0,1884.0,917.0,134.0,0.21,SUP149,34.0,0.261,8,24.0,16.1,1
MEDEB1C35,Insulin Glargine 300U/mL,diabetes,263.0,1295.0,1398.0,1002.0,266.0,0.49,SUP114,22.0,0.37,7,79.0,10.9,1
MED9B5729,Cisplatin 50mg,oncology,445.0,585.0,978.0,1751.0,289.0,0.58,SUP146,31.0,0.393,13,1.0,0.6,1
MED566876,Acetazolamide 250mg,neurological,216.0,9.0,387.0,41.0,7.0,0.19,SUP138,28.0,0.599,3,59.0,0.4,1
MED19708A,Meropenem 1g,antibiotic,123.0,508.0,410.0,602.0,203.0,-0.04,SUP102,30.0,0.506,7,15.0,12.1,1
MED5F70C1,Dexamethasone 4mg,respiratory,692.0,678.0,759.0,760.0,289.0,0.48,SUP126,21.0,0.517,3,79.0,5.0,1
MEDAFBCDA,Meropenem 1g,antibiotic,685.0,728.0,1269.0,511.0,212.0,0.18,SUP102,34.0,0.546,6,57.0,1.7,1
MED0F9E03,Codeine/Guaifenesin,respiratory,1431.0,766.0,2271.0,1352.0,320.0,0.24,SUP127,19.0,0.562,7,17.0,2.1,1
MED4443D8,Octreotide 100mcg/mL,gastrointestinal,854.0,538.0,2807.0,781.0,123.0,0.5,SUP133,21.0,0.41,1,78.0,3.2,1
MEDE4247C,Clozapine 100mg,psychiatric,2283.0,362.0,2522.0,1109.0,182.0,0.38,SUP140,40.0,0.463,5,67.0,1.5,1
MEDA9A46B,Doxorubicin 50mg,oncology,88.0,10.0,134.0,16.0,6.0,0.15,SUP149,41.0,0.215,11,56.0,5.9,1
MED1B2C3C,Vincristine 1mg,oncology,1199.0,1033.0,2809.0,934.0,290.0,-0.11,SUP150,68.0,0.156,17,71.0,8.6,1
MED7CBF37,Hydralazine 25mg,cardiovascular,134.0,507.0,2299.0,745.0,156.0,-0.33,SUP111,8.0,0.82,1,26.0,12.3,0
MEDD18F53,Meropenem 1g,antibiotic,1944.0,152.0,2625.0,323.0,52.0,0.05,SUP102,34.0,0.515,4,112.0,16.9,1
MED42628F,Carbamazepine 400mg,neurological,1545.0,863.0,2475.0,881.0,333.0,0.29,SUP136,19.0,0.511,0,134.0,0.0,0
MED9589A2,Sucralfate 1g,gastrointestinal,50.0,74.0,308.0,332.0,72.0,-0.4,SUP130,11.0,0.618,6,50.0,16.3,1
MED172E60,Meloxicam 15mg,analgesic,282.0,570.0,558.0,438.0,153.0,0.55,SUP121,8.0,0.652,6,18.0,9.4,1
MED92A440,Semaglutide 0.25mg,diabetes,110.0,1465.0,2923.0,1726.0,343.0,0.09,SUP115,39.0,0.314,10,69.0,8.8,1
MED728298,Ketorolac 30mg/mL,analgesic,525.0,829.0,2194.0,1195.0,287.0,0.59,SUP120,21.0,0.584,5,56.0,0.5,1
MED29773E,Spironolactone 25mg,cardiovascular,1007.0,49.0,1465.0,101.0,20.0,0.23,SUP112,7.0,0.76,0,363.0,0.0,0
MEDBE52CD,Ipratropium Nebulizer,respiratory,519.0,82.0,2128.0,151.0,24.0,0.3,SUP125,20.0,0.387,5,102.0,6.3,1
MEDEF36E1,Octreotide 100mcg/mL,gastrointestinal,548.0,227.0,578.0,438.0,186.0,0.45,SUP133,27.0,0.485,2,2.0,0.8,1
MEDB68B57,Ceftriaxone 1g,antibiotic,537.0,1272.0,879.0,1685.0,334.0,0.16,SUP104,17.0,0.6,4,82.0,10.5,1
MED448FC6,Diclofenac 75mg,analgesic,56.0,161.0,232.0,491.0,82.0,0.43,SUP122,8.0,0.63,2,56.0,8.3,0
MED0D8384,Pioglitazone 30mg,diabetes,1708.0,173.0,1924.0,1043.0,152.0,-0.3,SUP116,10.0,0.612,1,105.0,14.7,1
MED3E8AE6,Levofloxacin 500mg,antibiotic,145.0,136.0,183.0,167.0,36.0,0.12,SUP106,11.0,0.589,3,98.0,7.2,0
MED329CAB,Semaglutide 0.25mg,diabetes,612.0,890.0,2400.0,398.0,183.0,0.59,SUP115,41.0,0.376,5,101.0,15.7,1
MEDE6348E,Octreotide 100mcg/mL,gastrointestinal,424.0,886.0,872.0,1055.0,346.0,0.26,SUP133,54.0,0.443,6,66.0,7.9,1
MED8D3B02,Amiodarone 200mg,cardiovascular,1066.0,836.0,2946.0,1053.0,216.0,0.01,SUP109,12.0,0.536,9,62.0,12.5,0
MED40471F,Insulin Aspart 100U/mL,diabetes,949.0,310.0,2926.0,284.0,133.0,-0.07,SUP113,19.0,0.405,10,21.0,3.0,1
MED700403,Fentanyl Patch 25mcg/hr,analgesic,805.0,536.0,1097.0,748.0,169.0,0.21,SUP119,31.0,0.312,9,21.0,2.3,1
MED4EEBCA,Sucralfate 1g,gastrointestinal,70.0,43.0,74.0,87.0,14.0,-0.34,SUP130,13.0,0.566,6,36.0,6.3,1
MED83A41E,Divalproex ER 500mg,psychiatric,1293.0,742.0,1354.0,1429.0,379.0,0.41,SUP144,26.0,0.496,4,73.0,0.3,1
MED5454E0,Tacrolimus 5mg,immunological,628.0,1023.0,2111.0,1374.0,209.0,0.41,SUP153,26.0,0.502,3,28.0,0.4,1
MED1448A7,Carbamazepine 400mg,neurological,647.0,949.0,1784.0,995.0,277.0,0.54,SUP136,16.0,0.461,4,91.0,6.4,1
MED523FDD,Diclofenac 75mg,analgesic,320.0,452.0,1063.0,1133.0,202.0,0.61,SUP122,8.0,0.692,2,53.0,6.9,0
MEDE5E3CB,Fentanyl Patch 25mcg/hr,analgesic,30.0,237.0,380.0,132.0,52.0,0.02,SUP119,38.0,0.371,8,12.0,11.9,1
MED6CBAB0,Valproic Acid 250mg,neurological,694.0,746.0,1122.0,472.0,229.0,0.26,SUP135,29.0,0.522,5,24.0,5.8,1
MEDD94841,Acetazolamide 250mg,neurological,1306.0,510.0,2688.0,799.0,227.0,0.43,SUP138,19.0,0.422,8,80.0,8.9,1
MED902D0B,Bupropion XL 300mg,psychiatric,278.0,1348.0,1583.0,1625.0,358.0,-0.02,SUP143,22.0,0.641,4,60.0,18.7,1
MED1804B0,Capecitabine 500mg,oncology,1228.0,1407.0,2495.0,1534.0,310.0,-0.38,SUP152,42.0,0.303,8,79.0,20.0,1
MEDA66D65,Amiodarone 200mg,cardiovascular,116.0,189.0,187.0,244.0,91.0,0.01,SUP109,31.0,0.599,5,45.0,0.2,1
MED9EF08A,Gabapentin 600mg,neurological,400.0,67.0,1337.0,101.0,35.0,0.64,SUP137,11.0,0.655,4,120.0,23.2,0
MEDC29A5A,Acetazolamide 250mg,neurological,8.0,20.0,51.0,24.0,8.0,-0.09,SUP138,11.0,0.494,5,29.0,0.6,1
MEDD29CAE,Epinephrine 1mg/mL,respiratory,123.0,454.0,1466.0,2302.0,366.0,0.26,SUP124,30.0,0.415,8,26.0,9.8,0
MEDC2FFC6,Meloxicam 15mg,analgesic,529.0,499.0,896.0,234.0,114.0,-0.26,SUP121,10.0,0.661,6,24.0,7.0,0
MEDA5D087,Haloperidol 5mg,psychiatric,691.0,431.0,1552.0,663.0,182.0,0.59,SUP141,15.0,0.418,10,3.0,4.0,1
MEDEE1B22,Heparin 5000U/mL,cardiovascular,874.0,128.0,2432.0,154.0,26.0,0.38,SUP108,15.0,0.33,8,118.0,0.6,1
MEDA212C4,Lactulose 10g/15mL,gastrointestinal,692.0,1331.0,812.0,1418.0,367.0,0.26,SUP131,12.0,0.605,6,84.0,3.1,1
MED0E6705,Divalproex ER 500mg,psychiatric,1923.0,13.0,2074.0,40.0,12.0,-0.24,SUP144,38.0,0.485,3,69.0,6.8,1
MEDDDD532,Ondansetron ODT 4mg,gastrointestinal,95.0,235.0,165.0,119.0,59.0,0.22,SUP129,22.0,0.572,4,23.0,16.3,1
MED0396E3,Octreotide 100mcg/mL,gastrointestinal,552.0,1005.0,1438.0,2223.0,350.0,0.3,SUP133,21.0,0.358,7,115.0,0.4,1
MED17A67E,Codeine/Guaifenesin,respiratory,236.0,945.0,735.0,1728.0,313.0,0.37,SUP127,28.0,0.534,1,11.0,0.1,1
MEDFA35BF,Lithium Carbonate 300mg,psychiatric,103.0,293.0,384.0,710.0,179.0,0.54,SUP139,1.0,0.435,5,50.0,9.8,1
MEDC2C28F,Colchicine 0.6mg,analgesic,271.0,96.0,1055.0,207.0,32.0,0.43,SUP123,19.0,0.489,4,51.0,6.0,0
MEDCF5275,Vancomycin 1g,antibiotic,772.0,239.0,1337.0,458.0,102.0,-0.17,SUP103,12.0,0.613,3,95.0,25.3,0
MED2093C4,Glipizide ER 10mg,diabetes,93.0,1692.0,2422.0,822.0,348.0,0.62,SUP117,10.0,0.763,5,20.0,0.8,0
MED8EF657,Mesalamine 400mg,gastrointestinal,140.0,108.0,643.0,236.0,35.0,-0.28,SUP132,26.0,0.511,6,46.0,6.1,1
MEDC2C3BF,Fentanyl Patch 25mcg/hr,analgesic,508.0,100.0,1029.0,182.0,36.0,0.7,SUP119,24.0,0.442,8,120.0,5.9,1
MEDC7470F,Tacrolimus 5mg,immunological,4.0,421.0,2343.0,492.0,95.0,0.39,SUP153,28.0,0.554,7,88.0,11.2,1
MEDFBC0F2,Chlorpromazine 50mg,psychiatric,1261.0,195.0,1523.0,261.0,76.0,0.4,SUP142,3.0,0.538,8,120.0,11.7,1
MED4ECB91,Capecitabine 500mg,oncology,402.0,675.0,1200.0,900.0,218.0,0.38,SUP152,31.0,0.366,6,114.0,2.5,1
MEDE0CE9A,Methotrexate 25mg/mL,oncology,1392.0,355.0,2978.0,442.0,116.0,-0.3,SUP145,40.0,0.438,8,13.0,19.8,1
MED1BF910,Meropenem 1g,antibiotic,69.0,140.0,178.0,171.0,30.0,-0.19,SUP102,20.0,0.452,6,2.0,7.1,1
MEDB17897,Insulin Aspart 100U/mL,diabetes,252.0,68.0,1069.0,115.0,49.0,0.41,SUP113,31.0,0.375,5,11.0,5.5,0
MEDFF5DD9,Dexamethasone 4mg,respiratory,911.0,291.0,1584.0,494.0,94.0,0.64,SUP126,11.0,0.532,8,7.0,6.7,1
MED10D266,Clozapine 100mg,psychiatric,1313.0,1187.0,2149.0,640.0,242.0,-0.25,SUP140,23.0,0.432,9,46.0,9.9,1
MED2DDC05,Dexamethasone 4mg,respiratory,886.0,111.0,2502.0,103.0,26.0,-0.37,SUP126,10.0,0.608,5,6.0,0.3,0
MED6C8DAA,Sucralfate 1g,gastrointestinal,453.0,520.0,2557.0,1621.0,244.0,0.62,SUP130,5.0,0.647,1,54.0,3.1,0
MED4E8A80,Nitroglycerin 0.4mg SL,cardiovascular,122.0,1062.0,719.0,876.0,251.0,-0.32,SUP107,28.0,0.451,3,26.0,3.0,1
MED53328F,Phenytoin 100mg,neurological,329.0,387.0,2458.0,493.0,140.0,0.2,SUP134,14.0,0.531,4,107.0,15.3,1
MED8A717B,Methotrexate 25mg/mL,oncology,1805.0,1565.0,2822.0,1569.0,320.0,-0.37,SUP145,57.0,0.331,6,80.0,10.3,1
MEDAEB19D,Mycophenolate 500mg,immunological,532.0,803.0,2175.0,1411.0,230.0,0.62,SUP155,24.0,0.358,6,69.0,9.2,1
MEDAE6F5E,Clozapine 100mg,psychiatric,445.0,592.0,2146.0,771.0,316.0,-0.03,SUP140,43.0,0.47,7,112.0,3.6,1
MEDE12F7A,Heparin 5000U/mL,cardiovascular,2163.0,189.0,2516.0,786.0,125.0,0.04,SUP108,32.0,0.368,3,75.0,0.7,1
MEDCBAE82,Epinephrine 1mg/mL,respiratory,380.0,889.0,1205.0,773.0,202.0,0.44,SUP124,33.0,0.282,9,113.0,19.9,1
MEDDA74B1,Piperacillin-Tazobactam 3.375g,antibiotic,2085.0,488.0,2508.0,470.0,106.0,0.05,SUP101,26.0,0.651,0,214.0,0.0,0
MEDA4DB62,Glipizide ER 10mg,diabetes,1164.0,657.0,2025.0,538.0,183.0,-0.1,SUP117,10.0,0.652,4,44.0,6.5,0
MED5F102C,Hydrocodone/APAP 5/325,analgesic,1138.0,374.0,2786.0,919.0,147.0,0.26,SUP118,11.0,0.477,4,65.0,6.4,0
MED85581B,Divalproex ER 500mg,psychiatric,1948.0,211.0,2394.0,469.0,69.0,-0.07,SUP144,22.0,0.439,7,33.0,0.8,1
MEDC477C6,Insulin Glargine 300U/mL,diabetes,119.0,694.0,2599.0,790.0,160.0,-0.35,SUP114,35.0,0.412,4,36.0,0.0,0
MEDA1AC22,Ondansetron ODT 4mg,gastrointestinal,261.0,1663.0,1601.0,1879.0,390.0,-0.27,SUP129,14.0,0.549,3,35.0,0.7,1
MEDE5A6A7,Dulaglutide 1.5mg,diabetes,744.0,1397.0,2151.0,1357.0,298.0,-0.22,SUP115,22.0,0.419,4,25.0,5.7,1
MED953DFA,Clindamycin 300mg,antibiotic,53.0,572.0,471.0,568.0,128.0,-0.24,SUP105,7.0,0.836,2,86.0,9.1,0
MEDACA510,Acetazolamide 250mg,neurological,1992.0,390.0,2178.0,2022.0,384.0,0.61,SUP138,15.0,0.582,6,11.0,30.0,1
MEDE16A2D,Infliximab 100mg,immunological,706.0,461.0,1560.0,365.0,130.0,0.66,SUP157,30.0,0.359,2,89.0,8.2,1
MED86D8D8,Spironolactone 25mg,cardiovascular,291.0,342.0,710.0,492.0,129.0,0.68,SUP112,11.0,0.787,2,73.0,1.1,0
MED52DF9A,Vancomycin 1g,antibiotic,838.0,885.0,944.0,873.0,200.0,-0.22,SUP103,9.0,0.562,5,108.0,1.0,1
MED6321B4,Meropenem 1g,antibiotic,88.0,477.0,895.0,1393.0,306.0,0.18,SUP102,21.0,0.481,4,24.0,11.5,1
MEDA4DF27,Cyclosporine 100mg,immunological,437.0,906.0,907.0,809.0,296.0,-0.03,SUP154,31.0,0.597,4,11.0,23.4,1
MED313390,Mesalamine 400mg,gastrointestinal,516.0,598.0,640.0,325.0,123.0,-0.05,SUP132,14.0,0.435,5,9.0,15.4,1
MED3DE9F1,Doxorubicin 50mg,oncology,1768.0,392.0,1988.0,550.0,106.0,0.15,SUP149,44.0,0.276,5,76.0,2.9,1
MED5D93E5,Infliximab 100mg,immunological,349.0,1297.0,1385.0,1036.0,379.0,-0.17,SUP157,52.0,0.428,4,96.0,0.1,1
MED192408,Gabapentin 600mg,neurological,1806.0,516.0,2023.0,656.0,134.0,0.19,SUP137,7.0,0.643,0,209.0,0.0,0
MED00E4B9,Methotrexate 25mg/mL,oncology,532.0,299.0,925.0,1417.0,256.0,0.57,SUP145,24.0,0.436,2,87.0,2.4,1
MED40DAEE,Methotrexate 25mg/mL,oncology,382.0,342.0,2812.0,652.0,116.0,0.34,SUP145,45.0,0.273,8,62.0,6.1,0
MEDF87F8F,Morphine Sulfate 15mg,analgesic,795.0,628.0,1066.0,841.0,277.0,-0.13,SUP118,7.0,0.414,3,84.0,3.8,0
MEDEF0824,Carbamazepine 400mg,neurological,2395.0,183.0,2904.0,236.0,37.0,-0.11,SUP136,23.0,0.501,3,62.0,18.5,0
MED954F79,Ketorolac 30mg/mL,analgesic,549.0,221.0,2326.0,1067.0,211.0,0.35,SUP120,32.0,0.576,6,69.0,6.6,1
MEDF8AF4D,Dexamethasone 4mg,respiratory,483.0,433.0,550.0,732.0,131.0,0.03,SUP126,22.0,0.531,3,48.0,4.6,1
MED3427D4,Valproic Acid 250mg,neurological,149.0,46.0,164.0,33.0,14.0,0.64,SUP135,24.0,0.57,4,67.0,7.6,1
MED1B1731,Octreotide 100mcg/mL,gastrointestinal,74.0,1115.0,1237.0,576.0,242.0,-0.29,SUP133,19.0,0.502,3,61.0,8.1,1
MED0A1ECC,Codeine/Guaifenesin,respiratory,395.0,108.0,1395.0,80.0,23.0,0.43,SUP127,19.0,0.564,3,74.0,13.7,0
MEDA9F60B,Infliximab 100mg,immunological,413.0,98.0,1673.0,55.0,22.0,0.29,SUP157,48.0,0.287,7,64.0,6.8,1
MEDFBCFAF,Hydrocodone/APAP 5/325,analgesic,1352.0,368.0,2980.0,1464.0,248.0,-0.01,SUP118,5.0,0.443,8,65.0,5.0,1
