date,drug_name,predicted_units,horizon_day
2026-01-03,Cephalexin 500 mg capsule,0.7,3
2026-01-03,Cetirizine 10 mg tablet,0.95,3
2026-01-03,Doxycycline 100 mg capsule,3.64,3
2026-01-03,Famotidine 20 mg tablet,1.11,3
2026-01-03,Fluticasone nasal spray,1.02,3
2026-01-03,Gabapentin 300 mg capsule,1.52,3
2026-01-03,Glipizide 5 mg tablet,1.36,3
2026-01-03,Hydrochlorothiazide 25 mg tablet,1.55,3
2026-01-03,Ibuprofen 200 mg tablet,8.45,3
2026-01-03,Insulin glargine 100 units/mL pen,0.33,3
2026-01-03,Levothyroxine 50 mcg tablet,2.01,3
2026-01-03,Lisinopril 10 mg tablet,2.77,3
2026-01-03,Losartan 50 mg tablet,1.99,3
2026-01-03,Metformin 500 mg tablet,4.25,3
2026-01-03,Naloxone 4 mg nasal spray,0.11,3
2026-01-03,Naproxen 500 mg tablet,0.18,3
2026-01-03,Nirmatrelvir/ritonavir 300/100 mg pack,0.06,3
2026-01-03,Omeprazole 20 mg capsule,3.44,3
2026-01-03,Oseltamivir 75 mg capsule,2.84,3
2026-01-03,Prednisone 20 mg tablet,5.11,3
2026-01-03,Semaglutide 0.25/0.5 mg pen,0.04,3
2026-01-03,Sertraline 50 mg tablet,1.74,3
2026-01-03,Simvastatin 40 mg tablet,0.7,3
2026-01-04,Acetaminophen 500 mg tablet,25.28,4
2026-01-04,Albuterol HFA inhaler,9.86,4
2026-01-04,Amlodipine 5 mg tablet,6.28,4
2026-01-04,Amoxicillin 500 mg capsule,12.47,4
2026-01-04,Amoxicillin-clavulanate 875/125 mg tablet,11.28,4
2026-01-04,Atorvastatin 20 mg tablet,6.95,4
2026-01-04,Azithromycin 250 mg tablet,7.25,4
2026-01-04,Cephalexin 500 mg capsule,4.76,4
2026-01-04,Cetirizine 10 mg tablet,5.31,4
2026-01-04,Doxycycline 100 mg capsule,7.82,4
2026-01-04,Famotidine 20 mg tablet,4.03,4
2026-01-04,Fluticasone nasal spray,4.14,4
2026-01-04,Gabapentin 300 mg capsule,5.33,4
2026-01-04,Glipizide 5 mg tablet,3.17,4
2026-01-04,Hydrochlorothiazide 25 mg tablet,6.48,4
2026-01-04,Ibuprofen 200 mg tablet,22.19,4
2026-01-04,Insulin glargine 100 units/mL pen,1.55,4
2026-01-04,Levothyroxine 50 mcg tablet,4.89,4
2026-01-04,Lisinopril 10 mg tablet,9.72,4
2026-01-04,Losartan 50 mg tablet,6.68,4
2026-01-04,Metformin 500 mg tablet,8.15,4
2026-01-04,Naloxone 4 mg nasal spray,0.51,4
2026-01-04,Naproxen 500 mg tablet,6.07,4
2026-01-04,Nirmatrelvir/ritonavir 300/100 mg pack,0.71,4
2026-01-04,Omeprazole 20 mg capsule,6.15,4
2026-01-04,Oseltamivir 75 mg capsule,4.06,4
2026-01-04,Prednisone 20 mg tablet,10.35,4
2026-01-04,Semaglutide 0.25/0.5 mg pen,0.26,4
2026-01-04,Sertraline 50 mg tablet,5.52,4
2026-01-04,Simvastatin 40 mg tablet,3.26,4
2026-01-05,Acetaminophen 500 mg tablet,16.69,5
2026-01-05,Albuterol HFA inhaler,8.97,5
2026-01-05,Amlodipine 5 mg tablet,8.1,5
2026-01-05,Amoxicillin 500 mg capsule,13.06,5
2026-01-05,Amoxicillin-clavulanate 875/125 mg tablet,12.59,5
2026-01-05,Atorvastatin 20 mg tablet,7.51,5
2026-01-05,Azithromycin 250 mg tablet,7.4,5
2026-01-05,Cephalexin 500 mg capsule,5.48,5
2026-01-05,Cetirizine 10 mg tablet,4.81,5
2026-01-05,Doxycycline 100 mg capsule,8.42,5
2026-01-05,Famotidine 20 mg tablet,3.59,5
2026-01-05,Fluticasone nasal spray,4.01,5
2026-01-05,Gabapentin 300 mg capsule,5.34,5
2026-01-05,Glipizide 5 mg tablet,4.06,5
2026-01-05,Hydrochlorothiazide 25 mg tablet,4.33,5
2026-01-05,Ibuprofen 200 mg tablet,21.55,5
2026-01-05,Insulin glargine 100 units/mL pen,1.22,5
2026-01-05,Levothyroxine 50 mcg tablet,6.16,5
2026-01-05,Lisinopril 10 mg tablet,8.31,5
2026-01-05,Losartan 50 mg tablet,5.74,5
2026-01-05,Metformin 500 mg tablet,10.24,5
2026-01-05,Naloxone 4 mg nasal spray,0.32,5
2026-01-05,Naproxen 500 mg tablet,5.02,5
2026-01-05,Nirmatrelvir/ritonavir 300/100 mg pack,0.66,5
2026-01-05,Omeprazole 20 mg capsule,6.95,5
2026-01-05,Oseltamivir 75 mg capsule,4.06,5
2026-01-05,Prednisone 20 mg tablet,10.36,5
2026-01-05,Semaglutide 0.25/0.5 mg pen,0.14,5
2026-01-05,Sertraline 50 mg tablet,5.37,5
2026-01-05,Simvastatin 40 mg tablet,3.36,5
2026-01-06,Acetaminophen 500 mg tablet,16.12,6
2026-01-06,Albuterol HFA inhaler,8.59,6
2026-01-06,Amlodipine 5 mg tablet,7.9,6
2026-01-06,Amoxicillin 500 mg capsule,13.06,6
2026-01-06,Amoxicillin-clavulanate 875/125 mg tablet,13.39,6
2026-01-06,Atorvastatin 20 mg tablet,7.88,6
2026-01-06,Azithromycin 250 mg tablet,7.5,6
2026-01-06,Cephalexin 500 mg capsule,5.5,6
2026-01-06,Cetirizine 10 mg tablet,4.61,6
2026-01-06,Doxycycline 100 mg capsule,8.42,6
2026-01-06,Famotidine 20 mg tablet,3.62,6
2026-01-06,Fluticasone nasal spray,3.74,6
2026-01-06,Gabapentin 300 mg capsule,5.19,6
2026-01-06,Glipizide 5 mg tablet,3.6,6
2026-01-06,Hydrochlorothiazide 25 mg tablet,4.63,6
2026-01-06,Ibuprofen 200 mg tablet,23.82,6
2026-01-06,Insulin glargine 100 units/mL pen,1.24,6
2026-01-06,Levothyroxine 50 mcg tablet,5.85,6
2026-01-06,Lisinopril 10 mg tablet,7.92,6
2026-01-06,Losartan 50 mg tablet,5.97,6
2026-01-06,Metformin 500 mg tablet,10.21,6
2026-01-06,Naloxone 4 mg nasal spray,0.36,6
2026-01-06,Naproxen 500 mg tablet,5.02,6
2026-01-06,Nirmatrelvir/ritonavir 300/100 mg pack,0.66,6
2026-01-06,Omeprazole 20 mg capsule,7.41,6
2026-01-06,Oseltamivir 75 mg capsule,4.11,6
2026-01-06,Prednisone 20 mg tablet,12.85,6
2026-01-06,Semaglutide 0.25/0.5 mg pen,0.17,6
2026-01-06,Sertraline 50 mg tablet,5.23,6
2026-01-06,Simvastatin 40 mg tablet,3.19,6
2026-01-07,Acetaminophen 500 mg tablet,16.12,7
2026-01-07,Albuterol HFA inhaler,8.65,7
2026-01-07,Amlodipine 5 mg tablet,8.39,7
2026-01-07,Amoxicillin 500 mg capsule,13.04,7
2026-01-07,Amoxicillin-clavulanate 875/125 mg tablet,13.24,7
2026-01-07,Atorvastatin 20 mg tablet,7.69,7
2026-01-07,Azithromycin 250 mg tablet,7.5,7
2026-01-07,Cephalexin 500 mg capsule,5.5,7
2026-01-07,Cetirizine 10 mg tablet,4.51,7
2026-01-07,Doxycycline 100 mg capsule,8.64,7
2026-01-07,Famotidine 20 mg tablet,3.73,7
2026-01-07,Fluticasone nasal spray,3.63,7
2026-01-07,Gabapentin 300 mg capsule,5.51,7
2026-01-07,Glipizide 5 mg tablet,3.3,7
2026-01-07,Hydrochlorothiazide 25 mg tablet,5.64,7
2026-01-07,Ibuprofen 200 mg tablet,24.61,7
2026-01-07,Insulin glargine 100 units/mL pen,1.21,7
2026-01-07,Levothyroxine 50 mcg tablet,6.03,7
2026-01-07,Lisinopril 10 mg tablet,8.84,7
2026-01-07,Losartan 50 mg tablet,6.2,7
2026-01-07,Metformin 500 mg tablet,10.33,7
2026-01-07,Naloxone 4 mg nasal spray,0.4,7
2026-01-07,Naproxen 500 mg tablet,5.02,7
2026-01-07,Nirmatrelvir/ritonavir 300/100 mg pack,0.66,7
2026-01-07,Omeprazole 20 mg capsule,7.26,7
2026-01-07,Oseltamivir 75 mg capsule,4.29,7
2026-01-07,Prednisone 20 mg tablet,13.15,7
2026-01-07,Semaglutide 0.25/0.5 mg pen,0.13,7
2026-01-07,Sertraline 50 mg tablet,4.98,7
2026-01-07,Simvastatin 40 mg tablet,3.08,7
2026-01-08,Acetaminophen 500 mg tablet,16.41,8
2026-01-08,Albuterol HFA inhaler,8.33,8
2026-01-08,Amlodipine 5 mg tablet,8.44,8
2026-01-08,Amoxicillin 500 mg capsule,12.57,8
2026-01-08,Amoxicillin-clavulanate 875/125 mg tablet,13.34,8
2026-01-08,Atorvastatin 20 mg tablet,7.45,8
2026-01-08,Azithromycin 250 mg tablet,7.5,8
2026-01-08,Cephalexin 500 mg capsule,5.49,8
2026-01-08,Cetirizine 10 mg tablet,3.8,8
2026-01-08,Doxycycline 100 mg capsule,9.39,8
2026-01-08,Famotidine 20 mg tablet,3.86,8
2026-01-08,Fluticasone nasal spray,3.89,8
2026-01-08,Gabapentin 300 mg capsule,5.47,8
2026-01-08,Glipizide 5 mg tablet,3.18,8
2026-01-08,Hydrochlorothiazide 25 mg tablet,5.54,8
2026-01-08,Ibuprofen 200 mg tablet,24.9,8
2026-01-08,Insulin glargine 100 units/mL pen,1.04,8
2026-01-08,Levothyroxine 50 mcg tablet,6.65,8
2026-01-08,Lisinopril 10 mg tablet,8.46,8
2026-01-08,Losartan 50 mg tablet,5.64,8
2026-01-08,Metformin 500 mg tablet,9.76,8
2026-01-08,Naloxone 4 mg nasal spray,0.37,8
2026-01-08,Naproxen 500 mg tablet,4.88,8
2026-01-08,Nirmatrelvir/ritonavir 300/100 mg pack,0.58,8
2026-01-08,Omeprazole 20 mg capsule,7.15,8
2026-01-08,Oseltamivir 75 mg capsule,4.01,8
2026-01-08,Prednisone 20 mg tablet,13.51,8
2026-01-08,Semaglutide 0.25/0.5 mg pen,0.14,8
2026-01-08,Sertraline 50 mg tablet,4.45,8
2026-01-08,Simvastatin 40 mg tablet,3.3,8
2026-01-09,Acetaminophen 500 mg tablet,1.4,9
2026-01-09,Albuterol HFA inhaler,2.02,9
2026-01-09,Amlodipine 5 mg tablet,0.21,9
2026-01-09,Amoxicillin 500 mg capsule,3.19,9
2026-01-09,Amoxicillin-clavulanate 875/125 mg tablet,7.64,9
2026-01-09,Atorvastatin 20 mg tablet,0.16,9
2026-01-09,Azithromycin 250 mg tablet,2.65,9
2026-01-09,Cephalexin 500 mg capsule,1.13,9
2026-01-09,Cetirizine 10 mg tablet,0.0,9
2026-01-09,Doxycycline 100 mg capsule,4.87,9
2026-01-09,Famotidine 20 mg tablet,0.67,9
2026-01-09,Fluticasone nasal spray,0.01,9
2026-01-09,Gabapentin 300 mg capsule,0.6,9
2026-01-09,Glipizide 5 mg tablet,0.56,9
2026-01-09,Hydrochlorothiazide 25 mg tablet,0.87,9
2026-01-09,Ibuprofen 200 mg tablet,10.29,9
2026-01-09,Insulin glargine 100 units/mL pen,0.06,9
2026-01-09,Levothyroxine 50 mcg tablet,1.28,9
2026-01-09,Lisinopril 10 mg tablet,0.67,9
2026-01-09,Losartan 50 mg tablet,1.05,9
2026-01-09,Metformin 500 mg tablet,1.84,9
2026-01-09,Naloxone 4 mg nasal spray,0.09,9
2026-01-09,Naproxen 500 mg tablet,0.0,9
2026-01-09,Nirmatrelvir/ritonavir 300/100 mg pack,0.08,9
2026-01-09,Omeprazole 20 mg capsule,0.83,9
2026-01-09,Oseltamivir 75 mg capsule,2.66,9
2026-01-09,Prednisone 20 mg tablet,6.72,9
2026-01-09,Semaglutide 0.25/0.5 mg pen,0.01,9
2026-01-09,Sertraline 50 mg tablet,0.29,9
2026-01-09,Simvastatin 40 mg tablet,0.23,9
2026-01-10,Acetaminophen 500 mg tablet,3.31,10
2026-01-10,Albuterol HFA inhaler,2.0,10
2026-01-10,Amlodipine 5 mg tablet,3.26,10
2026-01-10,Amoxicillin 500 mg capsule,3.06,10
2026-01-10,Amoxicillin-clavulanate 875/125 mg tablet,7.56,10
2026-01-10,Atorvastatin 20 mg tablet,2.58,10
2026-01-10,Azithromycin 250 mg tablet,2.72,10
2026-01-10,Cephalexin 500 mg capsule,1.09,10
2026-01-10,Cetirizine 10 mg tablet,0.82,10
2026-01-10,Doxycycline 100 mg capsule,5.1,10
2026-01-10,Famotidine 20 mg tablet,1.21,10
2026-01-10,Fluticasone nasal spray,0.93,10
2026-01-10,Gabapentin 300 mg capsule,1.69,10
2026-01-10,Glipizide 5 mg tablet,0.9,10
2026-01-10,Hydrochlorothiazide 25 mg tablet,2.15,10
2026-01-10,Ibuprofen 200 mg tablet,11.35,10
2026-01-10,Insulin glargine 100 units/mL pen,0.24,10
2026-01-10,Levothyroxine 50 mcg tablet,2.68,10
2026-01-10,Lisinopril 10 mg tablet,3.4,10
2026-01-10,Losartan 50 mg tablet,2.22,10
2026-01-10,Metformin 500 mg tablet,4.09,10
2026-01-10,Naloxone 4 mg nasal spray,0.05,10
2026-01-10,Naproxen 500 mg tablet,0.18,10
2026-01-10,Nirmatrelvir/ritonavir 300/100 mg pack,0.08,10
2026-01-10,Omeprazole 20 mg capsule,3.24,10
2026-01-10,Oseltamivir 75 mg capsule,2.61,10
2026-01-10,Prednisone 20 mg tablet,7.17,10
2026-01-10,Semaglutide 0.25/0.5 mg pen,0.01,10
2026-01-10,Sertraline 50 mg tablet,1.58,10
2026-01-10,Simvastatin 40 mg tablet,0.59,10
2026-01-11,Acetaminophen 500 mg tablet,26.18,11
2026-01-11,Albuterol HFA inhaler,10.24,11
2026-01-11,Amlodipine 5 mg tablet,6.97,11
2026-01-11,Amoxicillin 500 mg capsule,13.99,11
2026-01-11,Amoxicillin-clavulanate 875/125 mg tablet,15.37,11
2026-01-11,Atorvastatin 20 mg tablet,8.21,11
2026-01-11,Azithromycin 250 mg tablet,7.41,11
2026-01-11,Cephalexin 500 mg capsule,5.06,11
2026-01-11,Cetirizine 10 mg tablet,5.27,11
2026-01-11,Doxycycline 100 mg capsule,9.81,11
2026-01-11,Famotidine 20 mg tablet,4.15,11
2026-01-11,Fluticasone nasal spray,4.34,11
2026-01-11,Gabapentin 300 mg capsule,5.8,11
2026-01-11,Glipizide 5 mg tablet,3.68,11
2026-01-11,Hydrochlorothiazide 25 mg tablet,5.37,11
2026-01-11,Ibuprofen 200 mg tablet,26.25,11
2026-01-11,Insulin glargine 100 units/mL pen,1.37,11
2026-01-11,Levothyroxine 50 mcg tablet,5.65,11
2026-01-11,Lisinopril 10 mg tablet,8.07,11
2026-01-11,Losartan 50 mg tablet,6.55,11
2026-01-11,Metformin 500 mg tablet,8.08,11
2026-01-11,Naloxone 4 mg nasal spray,0.46,11
2026-01-11,Naproxen 500 mg tablet,6.07,11
2026-01-11,Nirmatrelvir/ritonavir 300/100 mg pack,0.72,11
2026-01-11,Omeprazole 20 mg capsule,6.38,11
2026-01-11,Oseltamivir 75 mg capsule,4.1,11
2026-01-11,Prednisone 20 mg tablet,12.77,11
2026-01-11,Semaglutide 0.25/0.5 mg pen,0.17,11
2026-01-11,Sertraline 50 mg tablet,5.43,11
2026-01-11,Simvastatin 40 mg tablet,3.19,11
2026-01-12,Acetaminophen 500 mg tablet,16.96,12
2026-01-12,Albuterol HFA inhaler,9.0,12
2026-01-12,Amlodipine 5 mg tablet,8.12,12
2026-01-12,Amoxicillin 500 mg capsule,12.86,12
2026-01-12,Amoxicillin-clavulanate 875/125 mg tablet,15.72,12
2026-01-12,Atorvastatin 20 mg tablet,7.66,12
2026-01-12,Azithromycin 250 mg tablet,7.5,12
2026-01-12,Cephalexin 500 mg capsule,5.67,12
2026-01-12,Cetirizine 10 mg tablet,4.29,12
2026-01-12,Doxycycline 100 mg capsule,10.45,12
2026-01-12,Famotidine 20 mg tablet,3.77,12
2026-01-12,Fluticasone nasal spray,4.01,12
2026-01-12,Gabapentin 300 mg capsule,5.12,12
2026-01-12,Glipizide 5 mg tablet,2.91,12
2026-01-12,Hydrochlorothiazide 25 mg tablet,5.1,12
2026-01-12,Ibuprofen 200 mg tablet,30.76,12
2026-01-12,Insulin glargine 100 units/mL pen,1.06,12
2026-01-12,Levothyroxine 50 mcg tablet,6.91,12
2026-01-12,Lisinopril 10 mg tablet,7.73,12
2026-01-12,Losartan 50 mg tablet,5.9,12
2026-01-12,Metformin 500 mg tablet,10.42,12
2026-01-12,Naloxone 4 mg nasal spray,0.34,12
2026-01-12,Naproxen 500 mg tablet,4.97,12
2026-01-12,Nirmatrelvir/ritonavir 300/100 mg pack,0.68,12
2026-01-12,Omeprazole 20 mg capsule,8.06,12
2026-01-12,Oseltamivir 75 mg capsule,3.93,12
2026-01-12,Prednisone 20 mg tablet,14.33,12
2026-01-12,Semaglutide 0.25/0.5 mg pen,0.11,12
2026-01-12,Sertraline 50 mg tablet,4.86,12
2026-01-12,Simvastatin 40 mg tablet,2.86,12
2026-01-13,Acetaminophen 500 mg tablet,16.76,13
2026-01-13,Albuterol HFA inhaler,8.94,13
2026-01-13,Amlodipine 5 mg tablet,8.51,13
2026-01-13,Amoxicillin 500 mg capsule,12.86,13
2026-01-13,Amoxicillin-clavulanate 875/125 mg tablet,16.76,13
2026-01-13,Atorvastatin 20 mg tablet,7.58,13
2026-01-13,Azithromycin 250 mg tablet,7.61,13
2026-01-13,Cephalexin 500 mg capsule,5.73,13
2026-01-13,Cetirizine 10 mg tablet,4.48,13
2026-01-13,Doxycycline 100 mg capsule,10.51,13
2026-01-13,Famotidine 20 mg tablet,4.02,13
2026-01-13,Fluticasone nasal spray,4.0,13
2026-01-13,Gabapentin 300 mg capsule,5.25,13
2026-01-13,Glipizide 5 mg tablet,2.9,13
2026-01-13,Hydrochlorothiazide 25 mg tablet,5.29,13
2026-01-13,Ibuprofen 200 mg tablet,33.76,13
2026-01-13,Insulin glargine 100 units/mL pen,1.15,13
2026-01-13,Levothyroxine 50 mcg tablet,6.9,13
2026-01-13,Lisinopril 10 mg tablet,7.86,13
2026-01-13,Losartan 50 mg tablet,5.95,13
2026-01-13,Metformin 500 mg tablet,10.43,13
2026-01-13,Naloxone 4 mg nasal spray,0.47,13
2026-01-13,Naproxen 500 mg tablet,4.88,13
2026-01-13,Nirmatrelvir/ritonavir 300/100 mg pack,0.68,13
2026-01-13,Omeprazole 20 mg capsule,7.13,13
2026-01-13,Oseltamivir 75 mg capsule,3.93,13
2026-01-13,Prednisone 20 mg tablet,14.56,13
2026-01-13,Semaglutide 0.25/0.5 mg pen,0.13,13
2026-01-13,Sertraline 50 mg tablet,4.95,13
2026-01-13,Simvastatin 40 mg tablet,2.9,13
2026-01-14,Acetaminophen 500 mg tablet,16.76,14
2026-01-14,Albuterol HFA inhaler,8.94,14
2026-01-14,Amlodipine 5 mg tablet,7.94,14
2026-01-14,Amoxicillin 500 mg capsule,12.86,14
2026-01-14,Amoxicillin-clavulanate 875/125 mg tablet,17.02,14
2026-01-14,Atorvastatin 20 mg tablet,8.03,14
2026-01-14,Azithromycin 250 mg tablet,7.61,14
2026-01-14,Cephalexin 500 mg capsule,5.73,14
2026-01-14,Cetirizine 10 mg tablet,4.61,14
2026-01-14,Doxycycline 100 mg capsule,10.5,14
2026-01-14,Famotidine 20 mg tablet,4.28,14
2026-01-14,Fluticasone nasal spray,3.82,14
2026-01-14,Gabapentin 300 mg capsule,5.37,14
2026-01-14,Glipizide 5 mg tablet,2.9,14
2026-01-14,Hydrochlorothiazide 25 mg tablet,5.68,14
2026-01-14,Ibuprofen 200 mg tablet,34.09,14
2026-01-14,Insulin glargine 100 units/mL pen,0.87,14
2026-01-14,Levothyroxine 50 mcg tablet,6.81,14
2026-01-14,Lisinopril 10 mg tablet,8.23,14
2026-01-14,Losartan 50 mg tablet,6.39,14
2026-01-14,Metformin 500 mg tablet,10.17,14
2026-01-14,Naloxone 4 mg nasal spray,0.55,14
2026-01-14,Naproxen 500 mg tablet,5.06,14
2026-01-14,Nirmatrelvir/ritonavir 300/100 mg pack,0.67,14
2026-01-14,Omeprazole 20 mg capsule,7.14,14
2026-01-14,Oseltamivir 75 mg capsule,4.1,14
2026-01-14,Prednisone 20 mg tablet,14.44,14
2026-01-14,Semaglutide 0.25/0.5 mg pen,0.12,14
2026-01-14,Sertraline 50 mg tablet,4.68,14
2026-01-14,Simvastatin 40 mg tablet,2.91,14
